Byte 1;Byte 2;Byte 3;;Byte 1 Bin;Byte 2 Bin;Byte 3 Bin
37;145;0;;00100101;10010001;00000000
38;145;0;;00100110;10010001;00000000
39;145;0;;00100111;10010001;00000000
40;145;0;;00101000;10010001;00000000
41;145;0;;00101001;10010001;00000000
42;145;0;;00101010;10010001;00000000
43;145;0;;00101011;10010001;00000000
44;145;0;;00101100;10010001;00000000
45;145;0;;00101101;10010001;00000000
46;145;0;;00101110;10010001;00000000
47;145;0;;00101111;10010001;00000000
48;145;0;;00110000;10010001;00000000
49;145;0;;00110001;10010001;00000000
50;145;0;;00110010;10010001;00000000
51;145;0;;00110011;10010001;00000000
52;145;0;;00110100;10010001;00000000
53;145;0;;00110101;10010001;00000000
54;145;0;;00110110;10010001;00000000
55;145;0;;00110111;10010001;00000000
56;145;0;;00111000;10010001;00000000
57;145;0;;00111001;10010001;00000000
58;145;0;;00111010;10010001;00000000
59;145;0;;00111011;10010001;00000000
60;145;0;;00111100;10010001;00000000
61;145;0;;00111101;10010001;00000000
62;145;0;;00111110;10010001;00000000
63;145;0;;00111111;10010001;00000000
64;145;0;;01000000;10010001;00000000
65;145;0;;01000001;10010001;00000000
66;145;0;;01000010;10010001;00000000
67;145;0;;01000011;10010001;00000000
68;145;0;;01000100;10010001;00000000
69;145;0;;01000101;10010001;00000000
70;145;0;;01000110;10010001;00000000
71;145;0;;01000111;10010001;00000000
72;145;0;;01001000;10010001;00000000
73;145;0;;01001001;10010001;00000000
74;145;0;;01001010;10010001;00000000
75;145;0;;01001011;10010001;00000000
76;145;0;;01001100;10010001;00000000
77;145;0;;01001101;10010001;00000000
78;145;0;;01001110;10010001;00000000
79;145;0;;01001111;10010001;00000000
80;145;0;;01010000;10010001;00000000
81;145;0;;01010001;10010001;00000000
82;145;0;;01010010;10010001;00000000
83;145;0;;01010011;10010001;00000000
84;145;0;;01010100;10010001;00000000
85;145;0;;01010101;10010001;00000000
86;145;0;;01010110;10010001;00000000
87;145;0;;01010111;10010001;00000000
88;145;0;;01011000;10010001;00000000
89;145;0;;01011001;10010001;00000000
90;145;0;;01011010;10010001;00000000
91;145;0;;01011011;10010001;00000000
92;145;0;;01011100;10010001;00000000
93;145;0;;01011101;10010001;00000000
94;145;0;;01011110;10010001;00000000
95;145;0;;01011111;10010001;00000000
96;145;0;;01100000;10010001;00000000
97;145;0;;01100001;10010001;00000000
98;145;0;;01100010;10010001;00000000
99;145;0;;01100011;10010001;00000000
100;145;0;;01100100;10010001;00000000
101;145;0;;01100101;10010001;00000000
102;145;0;;01100110;10010001;00000000
103;145;0;;01100111;10010001;00000000
104;145;0;;01101000;10010001;00000000
105;145;0;;01101001;10010001;00000000
106;145;0;;01101010;10010001;00000000
107;145;0;;01101011;10010001;00000000
108;145;0;;01101100;10010001;00000000
109;145;0;;01101101;10010001;00000000
110;145;0;;01101110;10010001;00000000
