X Coord,Y Coord,Radius
243.0,533.0,120.83344268798828
243.0,532.0,119.94943237304688
243.0,532.0,120.08537292480469
243.0,532.0,120.54248046875
244.0,532.0,120.01521301269531
243.0,532.0,121.84391784667969
243.0,532.0,120.66065979003906
243.0,532.0,120.2794189453125
243.0,532.0,121.04986572265625
243.0,532.0,120.34983825683594
243.0,532.0,120.13605499267578
243.0,531.0,121.27242279052734
242.0,531.0,131.12429809570312
243.0,532.0,119.0198974609375
243.0,532.0,120.0145492553711
243.0,532.0,120.43653869628906
243.0,532.0,122.25105285644531
244.0,532.0,120.5777816772461
243.0,532.0,121.69635772705078
243.0,532.0,119.44146728515625
243.0,532.0,130.40045166015625
243.0,532.0,120.57877349853516
243.0,532.0,119.62273406982422
243.0,531.0,121.18827056884766
243.0,532.0,119.78886413574219
243.0,531.0,119.49270629882812
243.0,532.0,120.98963165283203
243.0,532.0,122.03134155273438
243.0,532.0,120.51341247558594
243.0,532.0,119.39488983154297
243.0,533.0,120.87706756591797
243.0,532.0,119.17279815673828
243.0,532.0,119.60248565673828
243.0,532.0,120.28751373291016
243.0,531.0,120.86104583740234
242.0,532.0,120.23485565185547
243.0,532.0,119.08844757080078
244.0,532.0,120.79261779785156
243.0,532.0,120.377685546875
243.0,532.0,120.34098815917969
243.0,532.0,118.7560806274414
244.0,531.0,119.51070404052734
243.0,532.0,120.29634857177734
244.0,531.0,119.873291015625
243.0,531.0,120.47171783447266
244.0,531.0,120.28157043457031
243.0,532.0,121.4051742553711
243.0,532.0,119.83567810058594
243.0,532.0,120.60198211669922
244.0,531.0,121.10041046142578
243.0,532.0,120.34581756591797
243.0,532.0,120.63705444335938
243.0,531.0,122.30313110351562
244.0,531.0,120.37611389160156
243.0,531.0,122.87401580810547
243.0,531.0,120.09480285644531
244.0,532.0,120.32489776611328
243.0,531.0,120.70507049560547
243.0,531.0,121.0666275024414
243.0,531.0,120.66702270507812
