Time,Z-Coordinate,PID Output
1580732955.4523597,1.0,57.11645977082786
1580732955.4523597,2.0,64.57390782413796
1580732955.467983,2.0,65.77119674682618
1580732955.4836092,3.0,74.67608297802437
1580732955.4836092,3.0,73.07620503902436
1580732955.4836092,3.0,73.07620503902436
1580732955.5228703,3.0,83.3724797487259
1580732955.530865,3.0,85.79272856712342
1580732955.5378616,2.0,79.59978905615122
1580732955.5468557,2.0,85.20282058715821
1580732955.552852,3.0,93.58118465505132
1580732955.5588481,3.0,91.79907059669495
1580732955.5698438,3.0,94.75748040676118
1580732955.5758388,3.0,96.37138595581055
1580732955.5848339,3.0,98.79201972484589
1580732955.5948398,1.0,87.05475100452881
1580732955.600825,2.0,100.80210528107932
1580732955.6058214,2.0,98.7399519443512
1580732955.6168153,2.0,100.71226792335511
1580732955.6228125,1.0,94.66657467146061
1580732955.6319683,1.0,98.9570288181305
1580732955.6475928,2.0,106.55767441274762
1580732955.6475928,1.0,101.96824102401733
1580732955.6632183,1.0,103.36984629631043
1580732955.6788414,1.0,104.77123770713806
1580732955.6788414,3.0,110.97123770713806
1580732955.6944654,3.0,115.17566857337951
1580732955.7215989,1.0,109.56679745374755
1580732955.7215989,2.0,114.50954036712648
1580732955.7215989,2.0,114.50954036712648
1580732955.752846,2.0,120.11527709960939
1580732955.752846,0.0,113.91527709960938
1580732955.752846,0.0,113.91527709960938
1580732955.7840936,0.0,113.91527709960938
1580732955.7840936,0.0,113.91527709960938
1580732955.7840936,0.0,113.91527709960938
1580732955.8218663,0.0,113.91527709960938
1580732955.8218663,0.0,113.91527709960938
1580732955.8218663,0.0,113.91527709960938
1580732955.853118,2.0,127.3217410610055
1580732955.853118,2.0,125.72182650566101
1580732955.8687403,2.0,125.72182650566101
1580732955.8843617,1.0,124.62423674295962
1580732955.8843617,3.0,131.62439546585082
1580732955.8843617,3.0,131.62439546585082
1580732955.9221532,2.0,134.6426642891833
1580732955.9221532,3.0,138.4041888713837
1580732955.9377613,1.0,130.40076239819288
1580732955.9533992,1.0,135.0069503068924
1580732955.9533992,2.0,138.1069503068924
1580732955.9690099,0.0,131.9069503068924
1580732955.9846494,0.0,131.9069503068924
1580732955.9846494,2.0,138.1069503068924
1580732956.0002573,3.0,141.20695030689242
1580732956.0224066,3.0,151.36740159988406
1580732956.0224066,1.0,145.16740159988404
1580732956.0383801,1.0,145.16740159988404
1580732956.049375,1.0,147.49708008766174
1580732956.054372,3.0,165.05354033895313
1580732956.0633671,3.0,157.46189732551576
1580732956.0703626,1.0,144.74425875047362
1580732956.0783577,1.0,152.60657267570497
1580732956.0833564,2.0,161.60759212919865
1580732956.0943482,2.0,158.57479710578917
1580732956.099345,2.0,159.47130436897277
1580732956.1073396,2.0,160.54707031249998
1580732956.1143398,1.0,155.48117173442193
1580732956.1213312,1.0,158.70239434242248
1580732956.1313288,1.0,159.77822444438934
1580732956.139323,1.0,160.40569398403167
1580732956.1453195,3.0,175.6351422247216
1580732956.150318,3.0,169.83267102241518
1580732956.1614583,3.0,172.79210736751557
1580732956.1614583,2.0,148.04748620926824
1580732956.1614583,2.0,169.8973716020584
1580732956.1927242,3.0,182.21063649089572
1580732956.1927242,3.0,181.41104521751404
1580732956.207231,3.0,185.31482963562013
1580732956.2228754,3.0,189.52471396923067
1580732956.2228754,1.0,183.32471396923066
1580732956.2228754,1.0,183.32471396923066
1580732956.2541244,3.0,199.53388116508728
1580732956.2541244,1.0,191.7338323354721
1580732956.2541244,1.0,191.7338323354721
1580732956.2853553,3.0,207.9390518192117
1580732956.2853553,3.0,206.33807466030123
1580732956.2853553,3.0,206.33807466030123
1580732956.3231435,2.0,209.3556862384937
1580732956.3231435,1.0,206.91726925373078
1580732956.3231435,2.0,210.01726925373077
1580732956.3543925,2.0,215.6233481645584
1580732956.3543925,3.0,218.72334816455842
1580732956.3543925,1.0,212.5233481645584
1580732956.385639,1.0,215.32615237236024
1580732956.385639,3.0,221.52615237236026
1580732956.385639,1.0,215.32615237236024
1580732956.4233816,1.0,218.71166491508484
1580732956.4233816,2.0,221.81166491508483
1580732956.4233816,2.0,221.81166491508483
1580732956.4546287,2.0,227.41740164756774
1580732956.4546287,2.0,227.41740164756774
1580732956.4702547,2.0,230.2206977367401
1580732956.485894,3.0,239.12777123924613
1580732956.485894,3.0,237.5292347431183
1580732956.485894,3.0,237.5292347431183
1580732956.5236382,3.0,247.6862214803696
1580732956.5236382,2.0,244.58622148036957
1580732956.5236382,2.0,244.58622148036957
1580732956.5548832,2.0,250.19157326221466
1580732956.5548832,2.0,250.19157326221466
1580732956.5548832,2.0,250.19157326221466
1580732956.5777397,2.0,254.11327927112578
1580732956.5827382,1.0,246.45644328645076
1580732956.5917323,1.0,252.26794033050538
1580732956.5987275,3.0,267.48558468488557
1580732956.607722,3.0,262.7715601444244
1580732956.612719,3.0,264.1161285638809
1580732956.6217155,3.0,266.5365056991577
1580732956.6277113,2.0,260.3433576719755
1580732956.633712,2.0,265.5879092693329
1580732956.6427019,2.0,267.2046591758728
1580732956.647698,2.0,268.0984290122986
1580732956.6566942,2.0,269.8913152217865
1580732956.6666865,0.0,256.54282696463684
1580732956.6736827,3.0,283.7501120262912
1580732956.6816778,3.0,277.0254054307938
1580732956.6906738,1.0,267.26337057209724
1580732956.69667,1.0,272.25996675491336
1580732956.7036662,3.0,286.43964454885145
1580732956.7255127,3.0,286.75905339717866
1580732956.7255127,2.0,283.65905339717864
1580732956.7411215,2.0,283.65905339717864
1580732956.7567604,2.0,289.2648756742477
1580732956.7567604,2.0,289.2648756742477
1580732956.7567604,3.0,292.36487567424774
1580732956.7879918,3.0,300.76924631595614
1580732956.7879918,3.0,300.76924631595614
1580732956.7879918,3.0,300.76924631595614
1580732956.8242514,3.0,310.52671844959264
1580732956.8242514,2.0,307.4267184495926
1580732956.8242514,2.0,307.4267184495926
1580732956.8554997,2.0,313.032669043541
1580732956.8554997,2.0,313.032669043541
1580732956.8554997,2.0,313.032669043541
1580732956.8867633,2.0,318.64135706424713
1580732956.8867633,1.0,315.54135706424717
1580732956.8867633,3.0,321.74135706424715
1580732956.9245036,3.0,331.89725310802464
1580732956.9245036,2.0,328.7972531080246
1580732956.9245036,2.0,328.7972531080246
1580732956.9557521,1.0,327.7002131683751
1580732956.9557521,2.0,331.6002497911453
1580732956.9557521,2.0,331.6002497911453
1580732956.986999,2.0,337.20594375133516
1580732956.986999,1.0,334.1059437513352
1580732956.986999,1.0,334.1059437513352
1580732957.024789,1.0,337.4957121372223
1580732957.024789,1.0,337.4957121372223
1580732957.0403984,1.0,337.4957121372223
1580732957.0560222,2.0,346.99935888888933
1580732957.0560222,1.0,343.0989253044129
1580732957.0716472,1.0,343.0989253044129
1580732957.0872858,2.0,352.607265575956
1580732957.0872858,1.0,348.70761332511904
1580732957.0872858,1.0,348.70761332511904
1580732957.108476,0.0,344.36955204641305
1580732957.1164808,0.0,345.607613325119
1580732957.1224692,1.0,352.9084595177637
1580732957.1294627,1.0,349.9628090381623
1580732957.1364613,3.0,365.19261609870443
1580732957.1414568,3.0,359.65893073081975
1580732957.1524503,3.0,362.34870915412904
1580732957.1574476,1.0,346.5894712476245
1580732957.1654434,1.0,357.4037123918534
1580732957.1734388,1.0,343.42781875350096
1580732957.181434,1.0,349.85910120010374
1580732957.1864312,2.0,375.0618332358266
1580732957.1954248,2.0,361.3106330871582
1580732957.1964347,2.0,362.0297208786011
1580732957.1964347,2.0,362.0297208786011
1580732957.225073,2.0,367.1674431800842
1580732957.225073,1.0,364.06744318008424
1580732957.225073,1.0,364.06744318008424
1580732957.2563221,1.0,366.8704826354981
1580732957.2563221,2.0,369.97048263549806
1580732957.2563221,2.0,369.97048263549806
1580732957.2875671,2.0,375.5758344173431
1580732957.2875671,2.0,375.5758344173431
1580732957.2875671,2.0,375.5758344173431
1580732957.3253627,2.0,382.3563549518585
1580732957.3253627,0.0,376.15635495185853
1580732957.3253627,0.0,376.15635495185853
1580732957.3565943,2.0,389.5602519792025
1580732957.3565943,2.0,387.9593114852905
1580732957.3565943,2.0,387.9593114852905
1580732957.3878417,0.0,380.15917719667686
1580732957.3878417,1.0,384.85931148529056
1580732957.3878417,1.0,384.85931148529056
1580732957.4256318,1.0,388.2490798711777
1580732957.4256318,2.0,391.34907987117765
1580732957.4256318,2.0,391.34907987117765
1580732957.4568627,2.0,396.95190808773043
1580732957.4568627,1.0,393.85190808773046
1580732957.4724917,3.0,400.05190808773045
1580732957.488111,3.0,408.460833978653
1580732957.488111,0.0,399.160833978653
1580732957.488111,0.0,399.160833978653
1580732957.525905,2.0,413.4640208083891
1580732957.525905,3.0,415.2410551071167
1580732957.525905,3.0,415.2410551071167
1580732957.5571518,3.0,423.6495960474015
1580732957.5571518,3.0,423.6495960474015
