framenumber,X Coord,Y Coord,Diameter
1.0,161.0,17.0,3.1623775959014893
2.0,157.0,17.0,3.5356338024139404
3.0,158.0,17.0,3.6056511402130127
4.0,157.0,17.0,3.0414812564849854
5.0,157.0,17.0,3.374847173690796
6.0,157.0,17.0,3.374847173690796
7.0,157.0,17.0,3.0414812564849854
8.0,157.0,17.0,2.9155757427215576
9.0,158.0,17.0,3.1623775959014893
10.0,157.0,17.0,3.0414812564849854
11.0,157.0,17.0,3.0414812564849854
12.0,157.0,17.0,2.9155757427215576
13.0,158.0,17.0,3.0414812564849854
14.0,157.0,18.0,2.2361679077148438
15.0,157.0,18.0,2.2361679077148438
16.0,156.0,17.0,2.9155757427215576
17.0,157.0,17.0,3.1623775959014893
18.0,156.0,17.0,3.0414812564849854
19.0,157.0,17.0,3.0504720211029053
20.0,157.0,17.0,3.1623775959014893
21.0,157.0,17.0,3.0414812564849854
22.0,156.0,17.0,3.3542017936706543
23.0,157.0,18.0,3.0414812564849854
24.0,157.0,17.0,3.3542017936706543
25.0,157.0,18.0,2.6926822662353516
26.0,157.0,18.0,2.6926822662353516
27.0,157.0,18.0,3.1623775959014893
28.0,158.0,18.0,3.0053036212921143
29.0,158.0,18.0,3.1623775959014893
30.0,158.0,18.0,3.1623775959014893
31.0,158.0,18.0,2.6926822662353516
32.0,158.0,18.0,4.031229019165039
33.0,157.0,18.0,2.6926822662353516
34.0,158.0,18.0,4.031229019165039
35.0,158.0,18.0,3.1623775959014893
36.0,157.0,18.0,3.3542017936706543
37.0,158.0,18.0,3.6056511402130127
38.0,158.0,17.0,4.031229019165039
39.0,158.0,17.0,4.031229019165039
40.0,157.0,18.0,3.3542017936706543
41.0,157.0,18.0,3.3542017936706543
42.0,157.0,18.0,2.6926822662353516
43.0,158.0,18.0,3.6056511402130127
44.0,159.0,18.0,3.5356338024139404
45.0,158.0,18.0,3.1623775959014893
46.0,158.0,18.0,3.1623775959014893
47.0,158.0,19.0,3.0414812564849854
48.0,158.0,18.0,2.2361679077148438
49.0,158.0,18.0,3.6056511402130127
50.0,157.0,18.0,3.6771063804626465
51.0,157.0,18.0,3.6771063804626465
52.0,157.0,18.0,2.2361679077148438
53.0,157.0,18.0,3.6771063804626465
54.0,158.0,18.0,3.6056511402130127
55.0,157.0,19.0,3.0414812564849854
56.0,157.0,18.0,3.3542017936706543
57.0,158.0,19.0,3.0000998973846436
58.0,157.0,18.0,3.5356338024139404
59.0,157.0,18.0,3.5356338024139404
60.0,158.0,18.0,3.0414812564849854
61.0,157.0,18.0,3.1623775959014893
