Time,Z-Coordinate,PID Output
1581601998.968725,-4.0,nan
1581601998.9997072,-4.0,nan
1581601999.020698,-4.0,nan
1581601999.0466797,-4.0,nan
1581601999.0686681,-4.0,nan
1581601999.100649,-4.0,nan
1581601999.1945941,-4.0,nan
1581601999.2185807,-4.0,nan
1581601999.226576,-5.0,nan
1581601999.2665527,-4.0,nan
1581601999.3015327,-5.0,nan
1581601999.319526,-5.0,nan
1581601999.3335161,-4.0,nan
1581601999.3445082,-5.0,nan
1581601999.3545017,-5.0,nan
1581601999.3784878,-5.0,nan
1581601999.4044728,-5.0,nan
1581601999.416466,-4.0,nan
1581601999.4344556,-4.0,nan
1581601999.4904232,-5.0,nan
1581601999.5024164,-4.0,nan
1581601999.5463908,-4.0,nan
1581601999.575374,-5.0,nan
1581601999.592366,-5.0,nan
1581601999.6113532,-5.0,nan
1581601999.625345,-5.0,nan
1581601999.6453338,-5.0,nan
1581601999.6803133,-5.0,nan
1581601999.7142994,-5.0,nan
1581601999.7272863,-5.0,nan
1581601999.7412784,-5.0,nan
1581601999.75527,-5.0,nan
1581601999.7852528,-5.0,nan
1581601999.7982452,-5.0,nan
1581601999.8542128,-5.0,nan
1581601999.8672059,-5.0,nan
1581601999.8931904,-5.0,nan
1581601999.9201808,-5.0,nan
1581601999.9331677,-5.0,nan
1581601999.9571533,-5.0,nan
1581601999.9771433,-4.0,nan
1581602000.0011294,-5.0,nan
1581602000.01512,-5.0,nan
1581602000.0311108,-5.0,nan
1581602000.0541003,-5.0,nan
1581602000.0710876,-5.0,nan
1581602000.0820813,-5.0,nan
1581602000.093075,-5.0,nan
1581602000.1250565,-5.0,nan
1581602000.1330516,-5.0,nan
1581602000.1770263,-5.0,nan
1581602000.2060099,-5.0,nan
1581602000.2462325,-5.0,nan
1581602000.256302,-5.0,nan
1581602000.29672,-5.0,nan
1581602000.316871,-5.0,nan
1581602000.334983,-5.0,nan
1581602000.3551517,-5.0,nan
1581602000.3773618,-5.0,nan
1581602000.3975067,-5.0,nan
1581602000.4156284,-5.0,nan
1581602000.4277234,-5.0,nan
1581602000.4378102,-5.0,nan
1581602000.4761689,-5.0,nan
1581602000.4782004,-5.0,nan
1581602000.4882689,-5.0,nan
1581602000.5165215,-5.0,nan
1581602000.5286186,-5.0,nan
1581602000.5387821,-5.0,nan
1581602000.5568886,-5.0,nan
1581602000.5770864,-5.0,nan
1581602000.6093316,-5.0,nan
1581602000.6401787,-5.0,nan
1581602000.6651635,-5.0,nan
1581602000.6751592,-5.0,nan
1581602000.6881518,-5.0,nan
1581602000.7171407,-5.0,nan
1581602000.7471163,-5.0,nan
1581602000.7722688,-4.0,nan
1581602000.7823257,-5.0,nan
1581602000.7924523,-5.0,nan
1581602000.8226967,-5.0,nan
1581602000.8327558,-5.0,nan
1581602000.8609476,-5.0,nan
1581602000.8831177,-5.0,nan
1581602000.8931844,-4.0,nan
1581602000.9133294,-4.0,nan
1581602000.9417183,-5.0,nan
1581602000.9538198,-5.0,nan
1581602000.9719677,-5.0,nan
1581602001.0042312,-5.0,nan
1581602001.01429,-5.0,nan
1581602001.0344553,-5.0,nan
1581602001.0648189,-5.0,nan
1581602001.0748785,-4.0,nan
1581602001.0950823,-5.0,nan
1581602001.1237578,-5.0,nan
1581602001.12579,-5.0,nan
1581602001.1439352,-5.0,nan
1581602001.1633167,-5.0,nan
1581602001.1773083,-5.0,nan
1581602001.1903012,-5.0,nan
1581602001.2132878,-5.0,nan
1581602001.2272797,-5.0,nan
1581602001.254264,-5.0,nan
1581602001.2722552,-4.0,nan
1581602001.2932432,-5.0,nan
1581602001.332219,-5.0,nan
1581602001.3492107,-5.0,nan
1581602001.3661993,-5.0,nan
1581602001.3801913,-5.0,nan
1581602001.4071758,-5.0,nan
1581602001.419169,-5.0,nan
1581602001.45215,-5.0,nan
1581602001.4661417,-5.0,nan
1581602001.48613,-5.0,nan
1581602001.5021238,-5.0,nan
1581602001.5161128,-5.0,nan
1581602001.5780768,-5.0,nan
