0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550
1573641260.1764398,1573641260.2304113,1573641260.2423995,1573641260.2513943,1573641260.2603927,1573641260.2693846,1573641260.2773793,1573641260.2843766,1573641260.2923715,1573641260.2993674,1573641260.3063633,1573641260.3143585,1573641260.321355,1573641260.328351,1573641260.335347,1573641260.3423424,1573641260.3503382,1573641260.3583336,1573641260.3663292,1573641260.3743246,1573641260.3823202,1573641260.389316,1573641260.3973114,1573641260.4043074,1573641260.4113035,1573641260.4182997,1573641260.425296,1573641260.4322915,1573641260.439288,1573641260.4472833,1573641260.4542797,1573641260.4632745,1573641260.4712696,1573641260.4802673,1573641260.48826,1573641260.4962554,1573641260.5042508,1573641260.5122466,1573641260.5192425,1573641260.5272384,1573641260.5342343,1573641260.5442286,1573641260.5522234,1573641260.5612185,1573641260.5692139,1573641260.57721,1573641260.5842056,1573641260.5922015,1573641260.6001964,1573641260.6071925,1573641260.6151881,1573641260.6231844,1573641260.632178,1573641260.640174,1573641260.6481693,1573641260.656165,1573641260.6641603,1573641260.6721556,1573641260.680151,1573641260.6881466,1573641260.6961422,1573641260.7041378,1573641260.7121332,1573641260.7201285,1573641260.728124,1573641260.7361195,1573641260.7451212,1573641260.75311,1573641260.761105,1573641260.7681015,1573641260.7750978,1573641260.7830935,1573641260.7910883,1573641260.7990837,1573641260.807081,1573641260.8150754,1573641260.8220708,1573641260.8290668,1573641260.8370643,1573641260.8450577,1573641260.8530595,1573641260.8610492,1573641260.869044,1573641260.877045,1573641260.8860343,1573641260.893031,1573641260.9000266,1573641260.9070225,1573641260.9160178,1573641260.9240131,1573641260.9320092,1573641260.940004,1573641260.9460003,1573641260.952997,1573641260.960992,1573641260.967988,1573641260.9759834,1573641260.9829795,1573641260.9919744,1573641260.9999697,1573641261.0079663,1573641261.0149696,1573641261.0239568,1573641261.0309525,1573641261.0379484,1573641261.0450943,1573641261.0531049,1573641261.0610847,1573641261.06908,1573641261.0760932,1573641261.0850694,1573641261.093066,1573641261.1000621,1573641261.108056,1573641261.1150522,1573641261.1210678,1573641261.130045,1573641261.1380403,1573641261.1450486,1573641261.1530333,1573641261.1610281,1573641261.168022,1573641261.1750207,1573641261.1830153,1573641261.1910117,1573641261.1990185,1573641261.2070138,1573641261.2149956,1573641261.2229924,1573641261.2309883,1573641261.2389832,1573641261.2469795,1573641261.2539735,1573641261.2629704,1573641261.2699642,1573641261.2769606,1573641261.2839637,1573641261.292953,1573641261.2999475,1573641261.3069432,1573641261.3149388,1573641261.3239355,1573641261.3319314,1573641261.3399265,1573641261.3459232,1573641261.354916,1573641261.3629134,1573641261.370907,1573641261.3789165,1573641261.3868983,1573641261.3948948,1573641261.4028907,1573641261.4118855,1573641261.420879,1573641261.4298747,1573641261.4368699,1573641261.4458647,1573641261.4538789,1573641261.4608595,1573641261.4678524,1573641261.4768488,1573641261.485863,1573641261.493839,1573641261.5008335,1573641261.5088308,1573641261.5168245,1573641261.5268219,1573641261.5348141,1573641261.5428276,1573641261.551807,1573641261.5598018,1573641261.5677977,1573641261.5747917,1573641261.583789,1573641261.5917828,1573641261.599795,1573641261.6077747,1573641261.6157863,1573641261.6227646,1573641261.63176,1573641261.6397562,1573641261.647752,1573641261.654746,1573641261.6617424,1573641261.66874,1573641261.6757343,1573641261.6847303,1573641261.6927285,1573641261.699627,1573641261.7076223,1573641261.7146184,1573641261.7216141,1573641261.7286103,1573641261.7356067,1573641261.7436023,1573641261.7516062,1573641261.759593,1573641261.7675886,1573641261.7755835,1573641261.7835793,1573641261.7915752,1573641261.7995708,1573641261.8085647,1573641261.8165615,1573641261.825555,1573641261.8335512,1573641261.8415465,1573641261.8485634,1573641261.8575585,1573641261.8655539,1573641261.8725498,1573641261.8825443,1573641261.8905401,1573641261.8975356,1573641261.9045324,1573641261.9115279,1573641261.9205227,1573641261.9275186,1573641261.9385123,1573641261.9465077,1573641261.9545035,1573641261.962499,1573641261.9704945,1573641261.9784896,1573641261.9854867,1573641261.9934812,1573641262.000477,1573641262.0094724,1573641262.0174675,1573641262.025463,1573641262.033459,1573641262.0414538,1573641262.0494497,1573641262.057445,1573641262.0644407,1573641262.0724368,1573641262.080432,1573641262.088429,1573641262.0964293,1573641262.1034193,1573641262.1124141,1573641262.1194103,1573641262.1274054,1573641262.1344018,1573641262.1433964,1573641262.1513917,1573641262.1593874,1573641262.1663845,1573641262.1743784,1573641262.1813745,1573641262.1883707,1573641262.19637,1573641262.2033622,1573641262.2103584,1573641262.2173545,1573641262.22535,1573641262.2333462,1573641262.2403414,1573641262.2473376,1573641262.255333,1573641262.2633286,1573641262.271324,1573641262.279319,1573641262.2873144,1573641262.2943106,1573641262.3023067,1573641262.309302,1573641262.3172982,1573641262.3242939,1573641262.3312895,1573641262.338286,1573641262.3452816,1573641262.352278,1573641262.3602734,1573641262.3672693,1573641262.3742657,1573641262.3822608,1573641262.389257,1573641262.396253,1573641262.4032488,1573641262.4112458,1573641262.4182405,1573641262.426236,1573641262.433232,1573641262.4402285,1573641262.4482243,1573641262.4562192,1573641262.4632149,1573641262.4712105,1573641262.4792078,1573641262.4872053,1573641262.4942014,1573641262.5021966,1573641262.5101924,1573641262.5171885,1573641262.5241842,1573641262.5311804,1573641262.5381765,1573641262.5451722,1573641262.5521686,1573641262.5591648,1573641262.5671604,1573641262.574157,1573641262.5811522,1573641262.5881479,1573641262.5951443,1573641262.60214,1573641262.609136,1573641262.6161318,1573641262.6241286,1573641262.6311238,1573641262.63812,1573641262.6451156,1573641262.6521122,1573641262.6591082,1573641262.6671038,1573641262.674099,1573641262.6810951,1573641262.6880913,1573641262.696087,1573641262.703083,1573641262.710079,1573641262.717075,1573641262.7240713,1573641262.731067,1573641262.738063,1573641262.7450588,1573641262.7520556,1573641262.7600505,1573641262.7680461,1573641262.775042,1573641262.7830372,1573641262.789586,1573641262.7965825,1573641262.8025792,1573641262.810574,1573641262.8175702,1573641262.8245664,1573641262.8315625,1573641262.838558,1573641262.8455546,1573641262.8525507,1573641262.8595462,1573641262.8665442,1573641262.8735387,1573641262.8815348,1573641262.8895314,1573641262.8955264,1573641262.902522,1573641262.9095182,1573641262.9165142,1573641262.92351,1573641262.930506,1573641262.9375021,1573641262.9484959,1573641262.9554918,1573641262.9614885,1573641262.969484,1573641262.9764805,1573641262.9834764,1573641262.9904726,1573641262.9974685,1573641263.0054643,1573641263.01246,1573641263.0194566,1573641263.0264518,1573641263.0334477,1573641263.0404444,1573641263.0474396,1573641263.0544357,1573641263.061432,1573641263.0684278,1573641263.0754244,1573641263.0824199,1573641263.0894163,1573641263.096412,1573641263.103408,1573641263.110404,1573641263.1183999,1573641263.125396,1573641263.1323917,1573641263.1393876,1573641263.1463835,1573641263.1533802,1573641263.160376,1573641263.167372,1573641263.1743677,1573641263.1813648,1573641263.1883597,1573641263.195356,1573641263.2023525,1573641263.2103472,1573641263.217344,1573641263.2253394,1573641263.2323349,1573641263.2393308,1573641263.2463274,1573641263.2533233,1573641263.2603195,1573641263.2673166,1573641263.2743115,1573641263.2813072,1573641263.2883031,1573641263.295299,1573641263.302295,1573641263.3092918,1573641263.3162875,1573641263.3232846,1573641263.3302813,1573641263.3372755,1573641263.3442714,1573641263.3512673,1573641263.3582637,1573641263.3652594,1573641263.3722556,1573641263.3792524,1573641263.3852487,1573641263.3926294,1573641263.3996255,1573641263.4076211,1573641263.4146173,1573641263.4216127,1573641263.4286094,1573641263.4366047,1573641263.4436004,1573641263.4505966,1573641263.4575927,1573641263.4645886,1573641263.4715848,1573641263.478582,1573641263.4865775,1573641263.4935722,1573641263.5005684,1573641263.5075643,1573641263.5145602,1573641263.5215561,1573641263.5285528,1573641263.535549,1573641263.5425444,1573641263.5495431,1573641263.5565386,1573641263.5635326,1573641263.5705295,1573641263.5775244,1573641263.5845203,1573641263.591517,1573641263.5985126,1573641263.6055086,1573641263.612506,1573641263.6195009,1573641263.6264968,1573641263.6334927,1573641263.6414895,1573641263.6484845,1573641263.6554804,1573641263.6624763,1573641263.6694725,1573641263.6764688,1573641263.6844645,1573641263.6914601,1573641263.6984563,1573641263.7054522,1573641263.7124486,1573641263.7194445,1573641263.7264414,1573641263.733436,1573641263.7404325,1573641263.747429,1573641263.7544246,1573641263.7614205,1573641263.7684164,1573641263.7754126,1573641263.7834082,1573641263.7899597,1573641263.7979538,1573641263.8049498,1573641263.8119457,1573641263.818942,1573641263.8259382,1573641263.8329337,1573641263.8399298,1573641263.8479264,1573641263.8549218,1573641263.8634949,1573641263.8704898,1573641263.877486,1573641263.885482,1573641263.8934767,1573641263.9004726,1573641263.9074686,1573641263.914465,1573641263.9214618,1573641263.930456,1573641263.9374518,1573641263.9444485,1573641263.9524438,1573641263.960439,1573641263.9684343,1573641263.9764307,1573641263.985425,1573641264.0144272,1573641264.0264192,1573641264.0384128,1573641264.050401,1573641264.058384,1573641264.0663924,1573641264.0733747,1573641264.0813882,1573641264.0883675,1573641264.0983605,1573641264.1063738,1573641264.1133523,1573641264.1203482,1573641264.1283622,1573641264.1353395,1573641264.1423864,1573641264.149382,1573641264.156379,1573641264.1635804,1573641264.1705751,1573641264.17857,1573641264.1855652,1573641264.1935606,1573641264.20057,1573641264.20857,1573641264.2155483,1573641264.2225444,1573641264.2305517,1573641264.2375486,1573641264.244534,1573641264.2515278,1573641264.257543,1573641264.2645202,1573641264.2715163,1573641264.2785125,1573641264.2855215,1573641264.2935038,1573641264.3005176,1573641264.3074982,1573641264.3144922,1573641264.321488,1573641264.328484,1573641264.3354955,1573641264.3424838,1573641264.3504734,1573641264.3574858,1573641264.3644636,1573641264.371478,1573641264.379455,1573641264.3844662,1573641264.3924613
136.0,133.0,132.0,132.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,141.0,141.0,141.0,141.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,131.0,131.0,131.0,131.0,139.0,139.0,139.0,139.0,141.0,141.0,141.0,141.0,138.0,138.0,138.0,138.0,139.0,139.0,139.0,139.0,139.0,139.0,137.0,137.0,137.0,137.0,126.0,126.0,126.0,126.0,125.0,125.0,125.0,125.0,124.0,124.0,124.0,124.0,135.0,135.0,135.0,135.0,133.0,133.0,133.0,133.0,135.0,135.0,135.0,135.0,134.0,134.0,134.0,134.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,136.0,136.0,136.0,136.0,136.0,141.0,141.0,141.0,141.0,141.0,141.0,152.0,152.0,152.0,152.0,171.0,171.0,171.0,171.0,194.0,194.0,194.0,194.0,219.0,219.0,219.0,219.0,219.0,244.0,244.0,244.0,244.0,260.0,260.0,260.0,260.0,269.0,269.0,269.0,269.0,270.0,270.0,270.0,270.0,265.0,265.0,265.0,265.0,260.0,260.0,260.0,260.0,254.0,254.0,254.0,254.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,251.0,251.0,251.0,251.0,252.0,252.0,252.0,252.0,235.0,235.0,235.0,235.0,253.0,253.0,253.0,253.0,254.0,254.0,254.0,254.0,252.0,252.0,252.0,252.0,251.0,251.0,251.0,251.0,250.0,250.0,250.0,250.0,247.0,247.0,247.0,247.0,247.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,246.0,246.0,246.0,246.0,247.0,247.0,247.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,243.0,243.0,243.0,243.0,241.0,241.0,241.0,241.0,241.0,239.0,239.0,239.0,239.0,238.0,238.0,238.0,238.0,231.0,231.0,231.0,231.0,223.0,223.0,223.0,223.0,206.0,206.0,206.0,206.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,109.0,109.0,109.0,109.0,35.0,35.0,35.0,35.0,1573641262.2943106,1573641262.3023067,1573641262.309302,1573641262.3172982,1573641262.3242939,1573641262.3312895,1573641262.338286,1573641262.3452816,1573641262.352278,654.0,654.0,654.0,654.0,535.0,535.0,535.0,535.0,406.0,406.0,406.0,406.0,406.0,195.0,195.0,195.0,195.0,85.0,85.0,85.0,85.0,1573641262.5171885,1573641262.5241842,1573641262.5311804,1573641262.5381765,1573641262.5451722,1573641262.5521686,1573641262.5591648,1573641262.5671604,1573641262.574157,1573641262.5811522,1573641262.5881479,1573641262.5951443,1573641262.60214,1573641262.609136,1573641262.6161318,1573641262.6241286,1573641262.6311238,1573641262.63812,1573641262.6451156,1573641262.6521122,1573641262.6591082,1573641262.6671038,1573641262.674099,1573641262.6810951,1573641262.6880913,1573641262.696087,1573641262.703083,1573641262.710079,1573641262.717075,1573641262.7240713,1573641262.731067,1573641262.738063,1573641262.7450588,1573641262.7520556,1573641262.7600505,1573641262.7680461,1573641262.775042,1573641262.7830372,1573641262.789586,1573641262.7965825,1573641262.8025792,1573641262.810574,1573641262.8175702,1573641262.8245664,1573641262.8315625,1573641262.838558,1573641262.8455546,1573641262.8525507,1573641262.8595462,1573641262.8665442,1573641262.8735387,1573641262.8815348,1573641262.8895314,1573641262.8955264,1573641262.902522,1573641262.9095182,1573641262.9165142,1573641262.92351,1573641262.930506,1573641262.9375021,1573641262.9484959,1573641262.9554918,1573641262.9614885,1573641262.969484,1573641262.9764805,1573641262.9834764,1573641262.9904726,1573641262.9974685,1573641263.0054643,1573641263.01246,1573641263.0194566,1573641263.0264518,1573641263.0334477,1573641263.0404444,1573641263.0474396,1573641263.0544357,1573641263.061432,1573641263.0684278,1573641263.0754244,1573641263.0824199,1573641263.0894163,1573641263.096412,1573641263.103408,1573641263.110404,1573641263.1183999,1573641263.125396,1573641263.1323917,1573641263.1393876,1573641263.1463835,1573641263.1533802,1573641263.160376,1573641263.167372,1573641263.1743677,1573641263.1813648,1573641263.1883597,1573641263.195356,1573641263.2023525,1573641263.2103472,1573641263.217344,1573641263.2253394,1573641263.2323349,1573641263.2393308,1573641263.2463274,1573641263.2533233,1573641263.2603195,1573641263.2673166,1573641263.2743115,1573641263.2813072,1573641263.2883031,1573641263.295299,1573641263.302295,1573641263.3092918,1573641263.3162875,1573641263.3232846,1573641263.3302813,1573641263.3372755,1573641263.3442714,1573641263.3512673,1573641263.3582637,1573641263.3652594,1573641263.3722556,1573641263.3792524,1573641263.3852487,1573641263.3926294,1573641263.3996255,1573641263.4076211,1573641263.4146173,1573641263.4216127,1573641263.4286094,1573641263.4366047,1573641263.4436004,1573641263.4505966,1573641263.4575927,1573641263.4645886,1573641263.4715848,1573641263.478582,1573641263.4865775,1573641263.4935722,1573641263.5005684,1573641263.5075643,1573641263.5145602,1573641263.5215561,1573641263.5285528,1573641263.535549,1573641263.5425444,1573641263.5495431,1573641263.5565386,1573641263.5635326,1573641263.5705295,1573641263.5775244,1573641263.5845203,1573641263.591517,1573641263.5985126,1573641263.6055086,1573641263.612506,1573641263.6195009,1573641263.6264968,1573641263.6334927,1573641263.6414895,1573641263.6484845,1573641263.6554804,1573641263.6624763,1573641263.6694725,1573641263.6764688,1573641263.6844645,1573641263.6914601,1573641263.6984563,1573641263.7054522,1573641263.7124486,1573641263.7194445,1573641263.7264414,1573641263.733436,1573641263.7404325,1573641263.747429,1573641263.7544246,1573641263.7614205,1573641263.7684164,1573641263.7754126,1573641263.7834082,1573641263.7899597,1573641263.7979538,1573641263.8049498,1573641263.8119457,1573641263.818942,1573641263.8259382,1573641263.8329337,1573641263.8399298,1573641263.8479264,1573641263.8549218,1573641263.8634949,1573641263.8704898,1573641263.877486,1573641263.885482,2.0,2.0,2.0,2.0,117.0,117.0,117.0,117.0,117.0,105.0,105.0,105.0,105.0,147.0,233.0,233.0,233.0,48.0,48.0,48.0,48.0,73.0,73.0,73.0,51.0,51.0,51.0,51.0,51.0,29.0,29.0,29.0,29.0,7.0,7.0,7.0,7.0,7.0,1573641264.2155483,1573641264.2225444,1573641264.2305517,1573641264.2375486,1573641264.244534,1573641264.2515278,1573641264.257543,1573641264.2645202,1573641264.2715163,1573641264.2785125,1573641264.2855215,1573641264.2935038,1573641264.3005176,1573641264.3074982,1573641264.3144922,1573641264.321488,1573641264.328484,1573641264.3354955,1573641264.3424838,1573641264.3504734,1573641264.3574858,1573641264.3644636,1573641264.371478,1573641264.379455,1573641264.3844662,1573641264.3924613
100.0,99.0,100.0,100.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,97.0,97.0,97.0,97.0,97.0,99.0,99.0,99.0,99.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,93.0,93.0,93.0,93.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0,92.0,94.0,94.0,94.0,94.0,98.0,98.0,98.0,98.0,101.0,101.0,101.0,101.0,101.0,97.0,97.0,97.0,97.0,97.0,97.0,101.0,101.0,101.0,101.0,114.0,114.0,114.0,114.0,130.0,130.0,130.0,130.0,145.0,145.0,145.0,145.0,145.0,165.0,165.0,165.0,165.0,179.0,179.0,179.0,179.0,187.0,187.0,187.0,187.0,192.0,192.0,192.0,192.0,194.0,194.0,194.0,194.0,192.0,192.0,192.0,192.0,189.0,189.0,189.0,189.0,184.0,184.0,184.0,184.0,184.0,184.0,181.0,181.0,181.0,181.0,183.0,183.0,183.0,183.0,186.0,186.0,186.0,186.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,185.0,185.0,185.0,185.0,188.0,188.0,188.0,188.0,186.0,186.0,186.0,186.0,182.0,182.0,182.0,182.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,178.0,178.0,178.0,178.0,178.0,178.0,182.0,182.0,182.0,182.0,180.0,180.0,180.0,179.0,179.0,179.0,179.0,179.0,184.0,184.0,184.0,176.0,176.0,176.0,176.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,178.0,178.0,178.0,178.0,176.0,176.0,176.0,176.0,177.0,177.0,177.0,177.0,178.0,178.0,178.0,178.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,178.0,178.0,178.0,178.0,171.0,171.0,171.0,171.0,1573641262.2943106,1573641262.3023067,1573641262.309302,1573641262.3172982,1573641262.3242939,1573641262.3312895,1573641262.338286,1573641262.3452816,1573641262.352278,222.0,222.0,222.0,222.0,257.0,257.0,257.0,257.0,313.0,313.0,313.0,313.0,313.0,232.0,232.0,232.0,232.0,496.0,496.0,496.0,496.0,1573641262.5171885,1573641262.5241842,1573641262.5311804,1573641262.5381765,1573641262.5451722,1573641262.5521686,1573641262.5591648,1573641262.5671604,1573641262.574157,1573641262.5811522,1573641262.5881479,1573641262.5951443,1573641262.60214,1573641262.609136,1573641262.6161318,1573641262.6241286,1573641262.6311238,1573641262.63812,1573641262.6451156,1573641262.6521122,1573641262.6591082,1573641262.6671038,1573641262.674099,1573641262.6810951,1573641262.6880913,1573641262.696087,1573641262.703083,1573641262.710079,1573641262.717075,1573641262.7240713,1573641262.731067,1573641262.738063,1573641262.7450588,1573641262.7520556,1573641262.7600505,1573641262.7680461,1573641262.775042,1573641262.7830372,1573641262.789586,1573641262.7965825,1573641262.8025792,1573641262.810574,1573641262.8175702,1573641262.8245664,1573641262.8315625,1573641262.838558,1573641262.8455546,1573641262.8525507,1573641262.8595462,1573641262.8665442,1573641262.8735387,1573641262.8815348,1573641262.8895314,1573641262.8955264,1573641262.902522,1573641262.9095182,1573641262.9165142,1573641262.92351,1573641262.930506,1573641262.9375021,1573641262.9484959,1573641262.9554918,1573641262.9614885,1573641262.969484,1573641262.9764805,1573641262.9834764,1573641262.9904726,1573641262.9974685,1573641263.0054643,1573641263.01246,1573641263.0194566,1573641263.0264518,1573641263.0334477,1573641263.0404444,1573641263.0474396,1573641263.0544357,1573641263.061432,1573641263.0684278,1573641263.0754244,1573641263.0824199,1573641263.0894163,1573641263.096412,1573641263.103408,1573641263.110404,1573641263.1183999,1573641263.125396,1573641263.1323917,1573641263.1393876,1573641263.1463835,1573641263.1533802,1573641263.160376,1573641263.167372,1573641263.1743677,1573641263.1813648,1573641263.1883597,1573641263.195356,1573641263.2023525,1573641263.2103472,1573641263.217344,1573641263.2253394,1573641263.2323349,1573641263.2393308,1573641263.2463274,1573641263.2533233,1573641263.2603195,1573641263.2673166,1573641263.2743115,1573641263.2813072,1573641263.2883031,1573641263.295299,1573641263.302295,1573641263.3092918,1573641263.3162875,1573641263.3232846,1573641263.3302813,1573641263.3372755,1573641263.3442714,1573641263.3512673,1573641263.3582637,1573641263.3652594,1573641263.3722556,1573641263.3792524,1573641263.3852487,1573641263.3926294,1573641263.3996255,1573641263.4076211,1573641263.4146173,1573641263.4216127,1573641263.4286094,1573641263.4366047,1573641263.4436004,1573641263.4505966,1573641263.4575927,1573641263.4645886,1573641263.4715848,1573641263.478582,1573641263.4865775,1573641263.4935722,1573641263.5005684,1573641263.5075643,1573641263.5145602,1573641263.5215561,1573641263.5285528,1573641263.535549,1573641263.5425444,1573641263.5495431,1573641263.5565386,1573641263.5635326,1573641263.5705295,1573641263.5775244,1573641263.5845203,1573641263.591517,1573641263.5985126,1573641263.6055086,1573641263.612506,1573641263.6195009,1573641263.6264968,1573641263.6334927,1573641263.6414895,1573641263.6484845,1573641263.6554804,1573641263.6624763,1573641263.6694725,1573641263.6764688,1573641263.6844645,1573641263.6914601,1573641263.6984563,1573641263.7054522,1573641263.7124486,1573641263.7194445,1573641263.7264414,1573641263.733436,1573641263.7404325,1573641263.747429,1573641263.7544246,1573641263.7614205,1573641263.7684164,1573641263.7754126,1573641263.7834082,1573641263.7899597,1573641263.7979538,1573641263.8049498,1573641263.8119457,1573641263.818942,1573641263.8259382,1573641263.8329337,1573641263.8399298,1573641263.8479264,1573641263.8549218,1573641263.8634949,1573641263.8704898,1573641263.877486,1573641263.885482,508.0,508.0,508.0,508.0,548.0,548.0,548.0,548.0,548.0,507.0,507.0,507.0,507.0,459.0,371.0,371.0,371.0,534.0,534.0,534.0,534.0,493.0,493.0,493.0,513.0,513.0,513.0,513.0,513.0,546.0,546.0,546.0,546.0,578.0,578.0,578.0,578.0,578.0,1573641264.2155483,1573641264.2225444,1573641264.2305517,1573641264.2375486,1573641264.244534,1573641264.2515278,1573641264.257543,1573641264.2645202,1573641264.2715163,1573641264.2785125,1573641264.2855215,1573641264.2935038,1573641264.3005176,1573641264.3074982,1573641264.3144922,1573641264.321488,1573641264.328484,1573641264.3354955,1573641264.3424838,1573641264.3504734,1573641264.3574858,1573641264.3644636,1573641264.371478,1573641264.379455,1573641264.3844662,1573641264.3924613
