Time,Z-Coordinate,PID Output
1580730720.4734848,5.0,109.85280355554067
1580730720.4854782,5.0,39.75936412811279
1580730720.494473,6.0,342.0984756313291
1580730720.505467,6.0,42.063204765319824
1580730720.514461,4.0,-628.9323720054883
1580730720.525455,4.0,38.35702991485596
1580730720.535449,5.0,340.6861473880735
1580730720.544445,5.0,40.64185547828674
1580730720.5534387,5.0,40.77677774429321
1580730720.5624332,4.0,-261.2410210672474
1580730720.5754268,4.0,39.08460187911987
1580730720.5834215,5.0,416.43301333176424
1580730720.5944147,4.0,-233.50096244825454
1580730720.604409,4.0,39.51235294342041
1580730720.6114051,4.0,39.61030578613281
1580730720.623398,5.0,314.6701273201743
1580730720.631394,5.0,41.91012668609619
1580730720.6383896,4.0,-388.82814130678423
1580730720.6483846,4.0,40.161988258361816
1580730720.6573782,3.0,-336.94017574077344
1580730720.6663735,3.0,38.39584422111511
1580730720.6803668,5.0,588.3269229381666
1580730720.6903596,4.0,-259.47854059562354
1580730720.6983547,4.0,40.84058952331543
1580730720.7093494,3.0,-261.1872040334797
1580730720.719343,4.0,374.6218283614369
1580730720.7273388,4.0,41.23636174201965
1580730720.7383316,4.0,41.390283823013306
1580730720.748326,4.0,41.53018355369568
1580730720.7573218,3.0,-335.52722074810634
1580730720.7683144,3.0,39.77705097198486
1580730720.7773097,3.0,39.906973361968994
1580730720.7843058,4.0,417.2250187087605
1580730720.7952988,4.0,42.158828258514404
1580730720.8022966,3.0,-334.8873877865887
1580730720.8102906,3.0,40.36670780181885
1580730720.8202858,4.0,417.6735686608787
1580730720.8292794,5.0,378.1301148987302
1580730720.8352764,5.0,44.7334988117218
1580730720.8472688,5.0,44.88340210914612
1580730720.8552642,4.0,-290.4806785588994
1580730720.8632598,4.0,43.12127137184143
1580730720.8752534,4.0,43.275176763534546
1580730720.8802516,4.0,43.35913062095642
1580730720.888245,4.0,43.47106909751892
1580730720.8962407,5.0,474.4414367869832
1580730720.9032395,5.0,45.69594192504883
1580730720.9112332,4.0,-385.0569450018706
1580730720.9232254,4.0,43.961795806884766
1580730720.9322197,4.0,44.08771324157715
1580730720.941215,4.0,44.21364068984985
1580730720.9502096,5.0,346.5427581630674
1580730720.9572055,5.0,46.483481645584106
1580730720.9662006,5.0,46.60341215133667
1580730720.9751961,5.0,46.738337993621826
1580730720.984191,5.0,46.8582649230957
1580730720.9941838,5.0,47.00818967819214
1580730721.0051775,5.0,47.18808722496033
1580730721.0151746,5.0,47.30800700187683
1580730721.024167,4.0,-254.7312836013761
1580730721.0341609,4.0,45.587836503982544
1580730721.0421574,5.0,381.14212917148814
1580730721.0521522,5.0,47.87268352508545
1580730721.0641444,5.0,48.022833585739136
1580730721.0731387,4.0,-254.49724281204777
1580730721.0851324,4.0,46.316441774368286
1580730721.098124,5.0,262.9152182531951
1580730721.1071186,5.0,48.67624044418335
1580730721.117113,5.0,48.811155557632446
1580730721.1251085,4.0,-286.5971407634876
1580730721.133104,5.0,424.2631206203053
1580730721.1410995,5.0,49.17696213722229
1580730721.1520936,5.0,49.32686901092529
1580730721.1610875,5.0,49.46177697181702
1580730721.1690834,4.0,-285.91998855167606
1580730721.181076,4.0,47.755608797073364
1580730721.1890717,5.0,550.1004828251471
1580730721.195068,4.0,-327.248605458791
1580730721.2050626,4.0,48.0
1580730721.2140567,5.0,383.52537970154003
1580730721.2200544,5.0,50.0
1580730721.2300484,5.0,50.0
1580730721.240042,4.0,-285.5430616302187
1580730721.2480373,4.0,48.0
1580730721.2580316,4.0,48.0
1580730721.2640288,4.0,48.0
1580730721.272024,4.0,48.0
1580730721.2800198,4.0,48.0
1580730721.2870152,4.0,48.0
1580730721.2940118,5.0,478.80697928026177
1580730721.3030066,5.0,50.0
1580730721.310002,4.0,-327.4076018855541
1580730721.318997,4.0,48.0
1580730721.3289914,6.0,597.7188333514041
1580730721.335987,6.0,52.0
1580730721.3429828,5.0,-378.8362074841524
1580730721.3519778,5.0,50.0
1580730721.371967,4.0,-102.08244274809161
1580730721.3779626,6.0,802.5241120157466
1580730721.388956,6.0,52.0
1580730721.396952,3.0,-1240.4647786524895
1580730721.4069455,6.0,802.3972964914025
1580730721.4189389,6.0,52.0
1580730721.4289331,4.0,-619.0684408630652
1580730721.4359307,4.0,48.0
1580730721.4469233,4.0,48.0
1580730721.4579163,5.0,300.14237719420316
1580730721.474907,5.0,50.0
1580730721.487899,4.0,-182.90030278007157
1580730721.5008917,5.0,280.9045399493522
1580730721.5088923,4.0,-285.52537970154003
1580730721.5218794,5.0,322.8830864652686
1580730721.5318737,4.0,-202.14735000596397
1580730721.5428677,5.0,322.8653337381273
1580730721.5548618,5.0,50.0
1580730721.5668533,5.0,50.0
1580730721.575848,3.0,-621.015399294972
1580730721.5898414,5.0,511.80907989870445
1580730721.5998347,5.0,50.0
1580730721.60783,5.0,50.0
1580730721.617825,4.0,-327.2396743506397
1580730721.6258202,4.0,48.0
1580730721.6348145,5.0,425.2508648455207
1580730721.6468072,5.0,50.0
1580730721.6568024,5.0,50.0
1580730721.6657963,6.0,385.58727465535526
1580730721.678789,6.0,52.0
