Time,Z-Coordinate,PID Output
1581408979.1586719,4.0,nan
1581408979.1716654,4.0,nan
1581408979.1876552,2.0,nan
1581408979.2004383,0.0,nan
1581408979.2124343,0.0,nan
1581408979.223429,0.0,nan
1581408979.236421,0.0,nan
1581408979.2504122,3.0,nan
1581408979.2634048,5.0,nan
1581408979.2753975,7.0,nan
1581408979.2873914,6.0,nan
1581408979.2993844,6.0,nan
1581408979.3143756,4.0,nan
1581408979.3273683,1.0,nan
1581408979.3393612,1.0,nan
1581408979.3513544,2.0,nan
1581408979.364348,2.0,nan
1581408979.37834,1.0,nan
1581408979.3903325,4.0,nan
1581408979.4023254,7.0,nan
1581408979.414318,7.0,nan
1581408979.4263136,7.0,nan
1581408979.439304,6.0,nan
1581408979.4532971,2.0,nan
1581408979.46629,1.0,nan
1581408979.4792824,1.0,nan
1581408979.4922738,3.0,nan
1581408979.5062659,2.0,nan
1581408979.5202577,1.0,nan
1581408979.532251,4.0,nan
1581408979.5432448,6.0,nan
1581408979.5572364,6.0,nan
1581408979.570229,6.0,nan
1581408979.5842214,3.0,nan
1581408979.5952156,0.0,nan
1581408979.6072085,3.0,nan
1581408979.619203,3.0,nan
1581408979.635192,3.0,nan
1581408979.6461866,1.0,nan
1581408979.6571798,2.0,nan
1581408979.672171,2.0,nan
1581408979.6841643,5.0,nan
1581408979.6981559,6.0,nan
1581408979.7131476,5.0,nan
1581408979.7251415,3.0,nan
1581408979.736134,0.0,nan
1581408979.7471302,0.0,nan
1581408979.7601225,1.0,nan
1581408979.7711148,1.0,nan
1581408979.7841065,1.0,nan
1581408979.7970996,1.0,nan
1581408979.8110924,4.0,nan
1581408979.8260827,7.0,nan
1581408979.838076,7.0,nan
1581408979.8490698,6.0,nan
1581408979.8620627,6.0,nan
1581408979.875057,3.0,nan
1581408979.8890467,2.0,nan
1581408979.9020398,1.0,nan
1581408979.9130335,3.0,nan
1581408979.927026,3.0,nan
1581408979.9410167,5.0,nan
1581408979.9530122,7.0,nan
1581408979.9660056,7.0,nan
1581408979.975997,7.0,nan
1581408979.9879906,7.0,nan
1581408980.0019825,5.0,nan
1581408980.014974,4.0,nan
1581408980.026968,3.0,nan
1581408980.038961,3.0,nan
1581408980.0509539,3.0,nan
1581408980.066945,4.0,nan
1581408980.0779388,6.0,nan
1581408980.089932,6.0,nan
1581408980.1029243,6.0,nan
1581408980.1149173,7.0,nan
1581408980.1299088,5.0,nan
1581408980.1449003,5.0,nan
1581408980.1568935,3.0,nan
1581408980.1698859,4.0,nan
1581408980.1848779,4.0,nan
1581408980.1988695,3.0,nan
1581408980.2108636,5.0,nan
1581408980.2248545,4.0,nan
1581408980.2368479,5.0,nan
1581408980.248841,4.0,nan
1581408980.2618334,4.0,nan
1581408980.2728271,4.0,nan
1581408980.2838209,4.0,nan
1581408980.295814,4.0,nan
1581408980.3098059,4.0,nan
1581408980.3227983,3.0,nan
1581408980.335791,3.0,nan
1581408980.3467846,3.0,nan
1581408980.358778,3.0,nan
1581408980.3697739,3.0,nan
1581408980.3837636,2.0,nan
1581408980.3957567,3.0,nan
1581408980.40775,3.0,nan
1581408980.4207442,3.0,nan
1581408980.4337373,4.0,nan
1581408980.4487262,4.0,nan
1581408980.45972,4.0,nan
1581408980.472713,3.0,nan
1581408980.4857051,3.0,nan
1581408980.4976983,2.0,nan
1581408980.5116904,1.0,nan
1581408980.5216844,2.0,nan
1581408980.5346782,2.0,nan
1581408980.5476704,2.0,nan
1581408980.561662,4.0,nan
1581408980.5756538,4.0,nan
1581408980.5876467,4.0,nan
1581408980.5986412,3.0,nan
1581408980.6126337,3.0,nan
1581408980.6266265,2.0,nan
1581408980.6406202,1.0,nan
1581408980.6566074,1.0,nan
