Time,X Coord,Y Coord,Radius,Framenumber,Pixe Diameter
1578303195.2059777,33.5,20.0,21.41053009033203,1039,31.622976303100586
1578303195.2339618,38.5,2.0,4.472236156463623,1039,31.622976303100586
1578303195.2499526,35.5,19.0,25.124788284301758,1039,31.622976303100586
1578303195.262945,30.5,22.0,19.300357818603516,1039,31.622976303100586
1578303195.2719667,34.5,25.0,23.436182022094727,1039,31.622976303100586
1578303195.2809355,26.5,13.0,6.551437854766846,1039,31.622976303100586
1578303195.2949266,26.5,13.0,6.551437854766846,1039,31.622976303100586
1578303195.3109183,31.5,18.0,20.988191604614258,1039,31.622976303100586
1578303195.3199127,35.5,23.0,23.070642471313477,1039,31.622976303100586
1578303195.328908,36.5,23.0,21.739343643188477,1039,31.622976303100586
1578303195.3409107,36.5,23.0,21.739343643188477,1039,31.622976303100586
1578303195.3488965,32.5,17.0,19.729785919189453,1039,31.622976303100586
1578303195.3598902,32.5,17.0,19.729785919189453,1039,31.622976303100586
1578303195.3758829,34.5,22.0,24.128738403320312,1039,31.622976303100586
1578303195.3898742,36.5,24.0,25.24763298034668,1039,31.622976303100586
1578303195.3998675,32.5,22.0,27.170854568481445,1039,31.622976303100586
1578303195.4088628,33.5,21.0,22.36077880859375,1039,31.622976303100586
1578303195.4198573,33.5,21.0,22.36077880859375,1039,31.622976303100586
1578303195.427853,29.5,26.0,15.736197471618652,1039,31.622976303100586
1578303195.4368467,29.5,26.0,15.736197471618652,1039,31.622976303100586
1578303195.4448423,30.5,24.0,22.47230339050293,1039,31.622976303100586
1578303195.456835,34.5,22.0,25.045059204101562,1039,31.622976303100586
1578303195.469828,33.5,20.0,24.756244659423828,1039,31.622976303100586
1578303195.48382,41.5,21.0,22.24167823791504,1039,31.622976303100586
1578303195.4938147,29.5,29.0,10.547611236572266,1039,31.622976303100586
1578303195.5018106,29.5,29.0,10.547611236572266,1039,31.622976303100586
1578303195.5118043,32.5,25.0,23.315889358520508,1039,31.622976303100586
1578303195.5198016,35.5,20.0,24.201112747192383,1039,31.622976303100586
1578303195.5287955,35.5,20.0,24.201112747192383,1039,31.622976303100586
1578303195.538789,32.5,18.0,24.821718215942383,1039,31.622976303100586
1578303195.553781,32.5,18.0,24.821718215942383,1039,31.622976303100586
1578303195.5667725,35.5,19.0,23.745830535888672,1039,31.622976303100586
1578303195.5757678,34.5,31.0,12.16562557220459,1039,31.622976303100586
1578303195.5827641,29.5,18.0,21.22508430480957,1039,31.622976303100586
1578303195.5937576,29.5,18.0,21.22508430480957,1039,31.622976303100586
1578303195.5997546,30.5,25.0,12.419842720031738,1039,31.622976303100586
1578303195.6127467,30.5,25.0,12.419842720031738,1039,31.622976303100586
1578303195.620742,35.5,20.0,25.855667114257812,1039,31.622976303100586
1578303195.6297383,35.5,20.0,25.855667114257812,1039,31.622976303100586
1578303195.638732,32.5,17.0,23.432294845581055,1039,31.622976303100586
1578303195.6487494,31.5,14.0,23.759307861328125,1039,31.622976303100586
1578303195.66072,31.5,14.0,23.759307861328125,1039,31.622976303100586
1578303195.667716,22.5,17.0,5.147915363311768,1039,31.622976303100586
1578303195.6777105,22.5,17.0,5.147915363311768,1039,31.622976303100586
1578303195.6837063,32.5,16.0,21.09873390197754,1039,31.622976303100586
1578303195.694701,32.5,16.0,21.09873390197754,1039,31.622976303100586
1578303195.7036955,34.5,2.0,6.708303928375244,1039,31.622976303100586
1578303195.7116914,30.5,19.0,24.515399932861328,1039,31.622976303100586
1578303195.7216852,30.5,19.0,24.515399932861328,1039,31.622976303100586
1578303195.7276819,31.5,20.0,22.729829788208008,1039,31.622976303100586
1578303195.7356775,31.5,20.0,22.729829788208008,1039,31.622976303100586
1578303195.7446718,28.5,18.0,15.890348434448242,1039,31.622976303100586
