Time,Z-Coordinate,PID Output
1580808459.1064475,5.0,293.4422403248189
1580808459.1224375,5.0,300.4126601219177
1580808459.1364274,6.0,312.4291786301865
1580808459.1464214,3.0,297.3408119279175
1580808459.1534185,2.0,269.54224949319666
1580808459.1674094,2.0,284.89789726734165
1580808459.1784034,4.0,322.0927155820654
1580808459.1873984,0.0,283.5662425741856
1580808459.1973925,0.0,294.6837552309036
1580808459.2063918,4.0,322.4597361072734
1580808459.2153826,1.0,281.04883846443096
1580808459.2223775,1.0,292.9284733533859
1580808459.2323723,2.0,311.5256100171577
1580808459.2393677,2.0,305.27646973133085
1580808459.2473633,3.0,313.65480472022347
1580808459.2573576,3.0,312.9485926151276
1580808459.263356,2.0,280.3835563338308
1580808459.2733483,2.0,294.40051069259647
1580808459.2813435,3.0,327.68651999582323
1580808459.2893388,3.0,314.20348892211916
1580808459.2983341,0.0,296.5664593451023
1580808459.3093288,0.0,304.90348892211915
1580808459.3153238,1.0,312.71136089655016
1580808459.3263178,1.0,309.5274015665055
1580808459.3353124,3.0,323.7066633470205
1580808459.3433075,0.0,299.4680340425456
1580808459.351303,0.0,308.8479070186615
1580808459.3612978,3.0,328.3418955403748
1580808459.369293,3.0,322.98891792297366
1580808459.377289,2.0,318.1967479909885
1580808459.388282,2.0,323.29555997848513
1580808459.3932793,1.0,316.5646947234562
1580808459.403273,1.0,321.5405988931656
1580808459.4122686,3.0,335.72102600360193
1580808459.4242609,0.0,314.03783305466465
1580808459.431257,0.0,320.86020612716675
1580808459.4402518,2.0,334.2330510966621
1580808459.4472482,2.0,329.74959959983823
1580808459.4562423,0.0,318.54661281611766
1580808459.4662368,0.0,323.54959959983825
1580808459.4722335,2.0,338.15129198512744
1580808459.4792295,2.0,332.25964884757997
1580808459.4892235,1.0,327.18691571242044
1580808459.4962199,1.0,330.683668422699
1580808459.503215,0.0,324.0102769286968
1580808459.5142093,0.0,327.58366842269896
1580808459.5192058,2.0,343.2034597448441
1580808459.5262022,2.0,335.9344304084778
1580808459.5361967,1.0,331.2292393777671
1580808459.5431924,1.0,334.4481007099152
1580808459.5501888,1.0,319.37228286599986
1580808459.5601826,1.0,326.9930333137512
1580808459.5671794,2.0,346.2446598734868
1580808459.575174,2.0,339.1617710113525
1580808459.5841687,1.0,334.77388189416405
1580808459.592164,1.0,337.6754413127899
1580808459.5991604,0.0,331.44881698741796
1580808459.6091561,0.0,334.5754413127899
1580808459.6151507,2.0,348.46400667254943
1580808459.6241455,2.0,343.4647492408752
1580808459.6331408,0.0,332.2620011492722
1580808459.6411436,0.0,337.26474924087523
1580808459.6491315,0.0,337.26474924087523
1580808459.6591256,0.0,337.26474924087523
1580808459.665122,0.0,337.26474924087523
1580808459.6741168,0.0,337.26474924087523
1580808459.6831126,0.0,337.26474924087523
1580808459.6951048,0.0,337.26474924087523
1580808459.7011013,0.0,337.26474924087523
1580808459.7130945,1.0,331.0042816234974
1580808459.7200902,1.0,332.46153514385225
1580808459.7270863,0.0,338.6885324301076
1580808459.7360811,0.0,335.56153514385227
1580808459.743077,0.0,335.56153514385227
1580808459.7500725,0.0,335.56153514385227
1580808459.7610667,1.0,329.20126108206824
1580808459.7700613,1.0,330.7582782745361
1580808459.7770576,0.0,336.9849025999081
1580808459.786052,0.0,333.85827827453613
1580808459.7920485,0.0,333.85827827453613
1580808459.8010437,0.0,333.85827827453613
1580808459.8100386,1.0,327.3602821006317
1580808459.8190331,1.0,329.05495724678036
1580808459.8260293,0.0,335.72847052081505
1580808459.8360236,0.0,332.1549572467804
1580808459.8420196,0.0,332.1549572467804
1580808459.8520143,0.0,332.1549572467804
1580808459.8610141,0.0,332.1549572467804
1580808459.8720026,0.0,332.1549572467804
1580808459.8800006,0.0,332.1549572467804
1580808459.8889923,1.0,325.7947390582174
1580808459.8989875,1.0,327.2619854927063
1580808459.9049835,1.0,326.7241452932358
1580808459.9149776,1.0,325.82753109931946
1580808459.9219737,1.0,325.20012571811674
1580808459.9299712,1.0,324.48289852142335
1580808459.938964,1.0,323.67612752914425
1580808459.9509573,1.0,322.6898626089096
1580808459.9569533,0.0,329.36374127284967
1580808459.9699461,0.0,325.78986260890963
1580808459.977941,2.0,311.90172845701585
