framenumber,X Coord,Y Coord,Radius
1.0,304.0,423.0,112.33366394042969
2.0,304.0,423.0,112.33366394042969
3.0,304.0,423.0,112.33366394042969
4.0,304.0,425.0,113.0766372680664
5.0,304.0,425.0,113.0766372680664
6.0,304.0,425.0,113.0766372680664
7.0,304.0,425.0,113.0766372680664
8.0,305.0,425.0,111.75843811035156
9.0,305.0,425.0,111.75843811035156
10.0,305.0,425.0,111.75843811035156
11.0,305.0,425.0,111.75843811035156
12.0,305.0,425.0,111.75843811035156
13.0,305.0,425.0,111.75843811035156
14.0,305.0,425.0,111.75843811035156
15.0,306.0,425.0,111.50153350830078
16.0,306.0,425.0,111.50153350830078
17.0,306.0,425.0,111.50153350830078
18.0,306.0,425.0,111.50153350830078
19.0,307.0,425.0,111.80378723144531
20.0,307.0,425.0,111.80378723144531
21.0,307.0,425.0,111.80378723144531
22.0,307.0,425.0,111.80378723144531
23.0,307.0,425.0,111.80378723144531
24.0,307.0,425.0,111.80378723144531
25.0,307.0,425.0,111.80378723144531
26.0,306.0,427.0,111.16851806640625
27.0,306.0,427.0,111.16851806640625
28.0,306.0,427.0,111.16851806640625
29.0,306.0,427.0,111.16851806640625
30.0,306.0,427.0,111.16851806640625
31.0,307.0,427.0,110.56393432617188
32.0,307.0,427.0,110.56393432617188
33.0,307.0,427.0,110.56393432617188
34.0,307.0,427.0,110.56393432617188
35.0,307.0,427.0,110.56393432617188
36.0,307.0,427.0,110.56393432617188
37.0,307.0,427.0,110.56393432617188
38.0,306.0,428.0,110.97906494140625
39.0,306.0,428.0,110.97906494140625
40.0,306.0,428.0,110.97906494140625
41.0,306.0,428.0,110.97906494140625
42.0,306.0,430.0,110.87284088134766
43.0,306.0,430.0,110.87284088134766
44.0,306.0,430.0,110.87284088134766
45.0,306.0,430.0,110.87284088134766
46.0,306.0,430.0,110.87284088134766
47.0,306.0,430.0,110.87284088134766
48.0,306.0,430.0,110.87284088134766
49.0,305.0,431.0,110.39347076416016
50.0,305.0,431.0,110.39347076416016
51.0,305.0,431.0,110.39347076416016
52.0,305.0,431.0,110.39347076416016
53.0,306.0,433.0,109.29008483886719
54.0,306.0,433.0,109.29008483886719
55.0,306.0,433.0,109.29008483886719
56.0,306.0,433.0,109.29008483886719
57.0,306.0,433.0,109.29008483886719
58.0,306.0,433.0,109.29008483886719
59.0,306.0,433.0,109.29008483886719
60.0,308.0,432.0,108.44509887695312
61.0,308.0,432.0,108.44509887695312
62.0,308.0,432.0,108.44509887695312
63.0,308.0,432.0,108.44509887695312
64.0,308.0,432.0,108.44509887695312
65.0,310.0,432.0,108.1698226928711
66.0,310.0,432.0,108.1698226928711
67.0,310.0,432.0,108.1698226928711
68.0,310.0,432.0,108.1698226928711
69.0,310.0,432.0,108.1698226928711
70.0,310.0,432.0,108.1698226928711
71.0,311.0,431.0,108.17251586914062
72.0,311.0,431.0,108.17251586914062
73.0,311.0,431.0,108.17251586914062
74.0,311.0,431.0,108.17251586914062
75.0,311.0,431.0,108.17251586914062
76.0,312.0,427.0,105.68193817138672
77.0,312.0,427.0,105.68193817138672
78.0,312.0,427.0,105.68193817138672
79.0,312.0,427.0,105.68193817138672
80.0,312.0,427.0,105.68193817138672
81.0,312.0,427.0,105.68193817138672
82.0,312.0,427.0,105.68193817138672
83.0,313.0,422.0,104.8458251953125
84.0,313.0,422.0,104.8458251953125
85.0,313.0,422.0,104.8458251953125
86.0,313.0,422.0,104.8458251953125
87.0,316.0,417.0,102.07422637939453
88.0,316.0,417.0,102.07422637939453
89.0,316.0,417.0,102.07422637939453
90.0,316.0,417.0,102.07422637939453
91.0,316.0,417.0,102.07422637939453
92.0,316.0,417.0,102.07422637939453
93.0,316.0,417.0,102.07422637939453
94.0,321.0,413.0,99.35759735107422
95.0,321.0,413.0,99.35759735107422
96.0,321.0,413.0,99.35759735107422
97.0,321.0,413.0,99.35759735107422
98.0,321.0,413.0,99.35759735107422
99.0,322.0,406.0,94.24725341796875
100.0,322.0,406.0,94.24725341796875
101.0,322.0,406.0,94.24725341796875
102.0,322.0,406.0,94.24725341796875
103.0,322.0,406.0,94.24725341796875
104.0,322.0,406.0,94.24725341796875
105.0,319.0,396.0,92.6094970703125
106.0,319.0,396.0,92.6094970703125
107.0,319.0,396.0,92.6094970703125
108.0,319.0,396.0,92.6094970703125
109.0,317.0,386.0,89.59652709960938
110.0,317.0,386.0,89.59652709960938
111.0,317.0,386.0,89.59652709960938
112.0,317.0,386.0,89.59652709960938
113.0,317.0,386.0,89.59652709960938
114.0,317.0,386.0,89.59652709960938
115.0,317.0,386.0,89.59652709960938
116.0,316.0,376.0,90.50391387939453
117.0,316.0,376.0,90.50391387939453
118.0,316.0,376.0,90.50391387939453
119.0,316.0,376.0,90.50391387939453
120.0,318.0,365.0,88.1345443725586
121.0,318.0,365.0,88.1345443725586
122.0,318.0,365.0,88.1345443725586
123.0,318.0,365.0,88.1345443725586
124.0,318.0,365.0,88.1345443725586
125.0,318.0,365.0,88.1345443725586
126.0,318.0,365.0,88.1345443725586
127.0,318.0,351.0,88.57916259765625
128.0,318.0,351.0,88.57916259765625
129.0,318.0,351.0,88.57916259765625
130.0,318.0,351.0,88.57916259765625
