Time,Z-Coordinate,PID Output
1580214004.1676636,nan,nan
1580214004.2546127,nan,nan
1580214004.3165772,nan,nan
1580214004.3415642,nan,nan
1580214004.3705466,nan,nan
1580214004.3925345,nan,nan
1580214004.41952,nan,nan
1580214004.4445045,nan,nan
1580214004.4874804,nan,nan
1580214004.5194616,nan,nan
1580214004.5554419,nan,nan
1580214004.5814266,nan,nan
1580214004.6024144,nan,nan
1580214004.6264012,nan,nan
1580214004.6623805,nan,nan
1580214004.6853683,nan,nan
1580214004.7103531,nan,nan
1580214004.7423346,nan,nan
1580214004.7643223,nan,nan
1580214004.7893243,nan,nan
1580214004.8182917,nan,nan
1580214004.8592687,nan,nan
1580214004.881258,nan,nan
1580214004.9042468,nan,nan
1580214004.9262304,nan,nan
1580214004.9542143,nan,nan
1580214005.0031867,nan,nan
1580214005.026678,nan,nan
1580214005.0486667,nan,nan
1580214005.086644,nan,nan
1580214005.124622,nan,nan
1580214005.170597,nan,nan
1580214005.195582,nan,nan
1580214005.2185693,nan,nan
1580214005.2485516,nan,nan
1580214005.2755363,nan,nan
1580214005.3075182,nan,nan
1580214005.3414986,nan,nan
1580214005.3635087,nan,nan
1580214005.3865135,nan,nan
1580214005.4145417,nan,nan
1580214005.4395924,nan,nan
1580214005.4675899,nan,nan
1580214005.4966085,nan,nan
1580214005.5206559,nan,nan
1580214005.5506632,nan,nan
1580214005.5726893,nan,nan
1580214005.5997436,nan,nan
1580214005.6267781,nan,nan
1580214005.6567607,nan,nan
1580214005.6927934,nan,nan
1580214005.7137814,nan,nan
1580214005.750827,124.0,nan
1580214005.7898474,124.0,nan
1580214005.812857,nan,nan
1580214005.8493865,nan,nan
1580214005.878894,113.0,nan
1580214005.9028804,102.0,nan
1580214005.9318643,97.0,nan
1580214005.9598906,87.0,nan
1580214005.9928532,nan,nan
1580214006.0188603,nan,nan
1580214006.0438762,nan,nan
1580214006.0688589,nan,nan
1580214006.0898468,nan,nan
1580214006.1218827,nan,nan
1580214006.1478677,nan,nan
1580214006.1848545,nan,nan
1580214006.2058423,nan,nan
1580214006.2278297,nan,nan
1580214006.2648094,nan,nan
1580214006.3037865,nan,nan
1580214006.3258007,nan,nan
1580214006.3477886,nan,nan
1580214006.3717773,nan,nan
1580214006.395761,nan,nan
1580214006.4257438,nan,nan
1580214006.4577258,nan,nan
1580214006.4887288,nan,nan
1580214006.5147135,nan,nan
1580214006.5536916,nan,nan
1580214006.580676,nan,nan
1580214006.6106641,nan,nan
1580214006.631652,nan,nan
1580214006.6646333,nan,nan
1580214006.6896193,nan,nan
1580214006.7196026,nan,nan
1580214006.7445881,nan,nan
1580214006.769574,nan,nan
1580214006.8015566,nan,nan
1580214006.8305397,nan,nan
1580214006.8635206,nan,nan
1580214006.9014986,nan,nan
1580214006.9414759,nan,nan
1580214006.9704592,nan,nan
1580214006.9924474,nan,nan
1580214007.0134356,nan,nan
1580214007.0394228,nan,nan
1580214007.067404,nan,nan
1580214007.0933893,nan,nan
1580214007.1213858,nan,nan
1580214007.1433616,69.0,nan
1580214007.165348,60.0,nan
1580214007.1943371,56.0,nan
1580214007.2213163,58.0,nan
1580214007.2453027,nan,nan
1580214007.265292,nan,nan
1580214007.2862794,nan,nan
1580214007.3286815,nan,nan
1580214007.3606637,nan,nan
1580214007.3816516,nan,nan
1580214007.406637,nan,nan
