framenumber,X Coord,Y Coord,Diameter
1.0,295.0,537.0,115.45904541015625
2.0,295.0,537.0,115.45904541015625
3.0,295.0,536.0,116.0177993774414
4.0,295.0,536.0,116.0177993774414
5.0,295.0,536.0,116.0177993774414
6.0,295.0,536.0,116.0177993774414
7.0,295.0,535.0,115.09089660644531
8.0,295.0,535.0,115.09089660644531
9.0,295.0,535.0,115.09089660644531
10.0,295.0,535.0,115.09089660644531
11.0,295.0,535.0,115.09089660644531
12.0,295.0,535.0,115.09089660644531
13.0,294.0,536.0,115.30252838134766
14.0,294.0,536.0,115.30252838134766
15.0,294.0,536.0,115.30252838134766
16.0,294.0,536.0,115.30252838134766
17.0,294.0,536.0,115.30252838134766
18.0,294.0,535.0,115.75243377685547
19.0,294.0,535.0,115.75243377685547
20.0,294.0,535.0,115.75243377685547
21.0,294.0,535.0,115.75243377685547
22.0,294.0,535.0,115.75243377685547
23.0,294.0,535.0,115.75243377685547
24.0,294.0,535.0,115.75243377685547
25.0,294.0,536.0,116.01129150390625
26.0,294.0,536.0,116.01129150390625
27.0,294.0,536.0,116.01129150390625
28.0,294.0,536.0,116.01129150390625
29.0,294.0,535.0,115.85166931152344
30.0,294.0,535.0,115.85166931152344
31.0,294.0,535.0,115.85166931152344
32.0,294.0,535.0,115.85166931152344
33.0,294.0,535.0,115.85166931152344
34.0,294.0,535.0,115.85166931152344
35.0,294.0,535.0,115.85166931152344
36.0,295.0,536.0,114.89578247070312
37.0,295.0,536.0,114.89578247070312
38.0,295.0,536.0,114.89578247070312
39.0,295.0,536.0,114.89578247070312
40.0,295.0,536.0,115.26971435546875
41.0,295.0,536.0,115.26971435546875
42.0,295.0,536.0,115.26971435546875
43.0,295.0,536.0,115.26971435546875
44.0,295.0,536.0,115.26971435546875
45.0,295.0,536.0,115.26971435546875
46.0,295.0,536.0,115.26971435546875
47.0,295.0,535.0,115.39939880371094
48.0,295.0,535.0,115.39939880371094
49.0,295.0,535.0,115.39939880371094
50.0,295.0,535.0,115.39939880371094
51.0,294.0,537.0,115.07160186767578
52.0,294.0,537.0,115.07160186767578
53.0,294.0,537.0,115.07160186767578
54.0,294.0,537.0,115.07160186767578
55.0,294.0,537.0,115.07160186767578
56.0,294.0,537.0,115.07160186767578
57.0,294.0,537.0,115.07160186767578
58.0,294.0,535.0,116.57884216308594
59.0,294.0,535.0,116.57884216308594
60.0,294.0,535.0,116.57884216308594
61.0,294.0,535.0,116.57884216308594
62.0,294.0,535.0,116.57884216308594
63.0,295.0,536.0,114.38604736328125
64.0,295.0,536.0,114.38604736328125
65.0,295.0,536.0,114.38604736328125
66.0,295.0,536.0,114.38604736328125
67.0,295.0,536.0,114.38604736328125
68.0,295.0,536.0,114.38604736328125
69.0,295.0,536.0,115.20443725585938
70.0,295.0,536.0,115.20443725585938
71.0,295.0,536.0,115.20443725585938
72.0,295.0,536.0,115.20443725585938
73.0,295.0,536.0,115.20443725585938
74.0,294.0,536.0,115.23344421386719
75.0,294.0,536.0,115.23344421386719
76.0,294.0,536.0,115.23344421386719
77.0,294.0,536.0,115.23344421386719
78.0,294.0,536.0,115.23344421386719
79.0,294.0,536.0,115.23344421386719
80.0,295.0,536.0,115.60242462158203
81.0,295.0,536.0,115.60242462158203
82.0,295.0,536.0,115.60242462158203
83.0,295.0,536.0,115.60242462158203
84.0,294.0,537.0,116.26427459716797
85.0,294.0,537.0,116.26427459716797
86.0,294.0,537.0,116.26427459716797
87.0,294.0,537.0,116.26427459716797
88.0,294.0,537.0,116.26427459716797
89.0,294.0,537.0,116.26427459716797
90.0,294.0,537.0,116.26427459716797
91.0,293.0,537.0,114.92288208007812
92.0,293.0,537.0,114.92288208007812
93.0,293.0,537.0,114.92288208007812
94.0,293.0,537.0,114.92288208007812
95.0,294.0,537.0,116.10108184814453
96.0,294.0,537.0,116.10108184814453
97.0,294.0,537.0,116.10108184814453
98.0,294.0,537.0,116.10108184814453
99.0,294.0,537.0,116.10108184814453
100.0,294.0,537.0,116.10108184814453
101.0,294.0,537.0,116.10108184814453
102.0,294.0,535.0,114.85842895507812
103.0,294.0,535.0,114.85842895507812
104.0,294.0,535.0,114.85842895507812
105.0,294.0,535.0,114.85842895507812
106.0,294.0,537.0,114.23766326904297
107.0,294.0,537.0,114.23766326904297
108.0,294.0,537.0,114.23766326904297
109.0,294.0,537.0,114.23766326904297
110.0,294.0,537.0,114.23766326904297
111.0,294.0,537.0,114.23766326904297
112.0,294.0,537.0,114.23766326904297
113.0,294.0,537.0,116.06155395507812
114.0,294.0,537.0,116.06155395507812
115.0,294.0,537.0,116.06155395507812
116.0,294.0,537.0,116.06155395507812
117.0,295.0,536.0,116.28423309326172
118.0,295.0,536.0,116.28423309326172
119.0,295.0,536.0,116.28423309326172
120.0,295.0,536.0,116.28423309326172
121.0,295.0,536.0,116.28423309326172
122.0,295.0,536.0,116.28423309326172
123.0,295.0,536.0,116.28423309326172
124.0,295.0,535.0,115.04537200927734
125.0,295.0,535.0,115.04537200927734
126.0,295.0,535.0,115.04537200927734
127.0,295.0,535.0,115.04537200927734
128.0,295.0,535.0,115.04537200927734
129.0,294.0,537.0,115.3704833984375
130.0,294.0,537.0,115.3704833984375
131.0,294.0,537.0,115.3704833984375
132.0,294.0,537.0,115.3704833984375
133.0,294.0,537.0,115.3704833984375
134.0,294.0,537.0,115.3704833984375
135.0,294.0,536.0,114.0694351196289
136.0,294.0,536.0,114.0694351196289
137.0,294.0,536.0,114.0694351196289
138.0,294.0,536.0,114.0694351196289
139.0,294.0,536.0,114.0694351196289
140.0,294.0,536.0,114.0694351196289
141.0,294.0,536.0,114.0694351196289
142.0,295.0,535.0,115.45191955566406
143.0,295.0,535.0,115.45191955566406
144.0,295.0,535.0,115.45191955566406
145.0,295.0,535.0,115.45191955566406
146.0,295.0,535.0,115.45191955566406
147.0,295.0,536.0,115.85050201416016
148.0,295.0,536.0,115.85050201416016
149.0,295.0,536.0,115.85050201416016
150.0,295.0,536.0,115.85050201416016
151.0,295.0,536.0,115.85050201416016
152.0,295.0,536.0,115.85050201416016
153.0,295.0,536.0,115.85050201416016
154.0,295.0,536.0,115.52278137207031
155.0,295.0,536.0,115.52278137207031
156.0,295.0,536.0,115.52278137207031
157.0,295.0,536.0,115.52278137207031
158.0,293.0,536.0,115.02445983886719
159.0,293.0,536.0,115.02445983886719
160.0,293.0,536.0,115.02445983886719
161.0,293.0,536.0,115.02445983886719
162.0,293.0,536.0,115.02445983886719
163.0,293.0,536.0,115.02445983886719
164.0,293.0,536.0,115.02445983886719
165.0,295.0,536.0,115.29302978515625
166.0,295.0,536.0,115.29302978515625
167.0,295.0,536.0,115.29302978515625
168.0,295.0,536.0,115.29302978515625
169.0,295.0,536.0,116.04778289794922
170.0,295.0,536.0,116.04778289794922
171.0,295.0,536.0,116.04778289794922
172.0,295.0,536.0,116.04778289794922
173.0,295.0,536.0,116.04778289794922
174.0,295.0,536.0,116.04778289794922
175.0,295.0,536.0,116.04778289794922
176.0,295.0,536.0,114.8037109375
177.0,295.0,536.0,114.8037109375
178.0,295.0,536.0,114.8037109375
179.0,295.0,536.0,114.8037109375
180.0,294.0,535.0,114.69884490966797
181.0,294.0,535.0,114.69884490966797
182.0,294.0,535.0,114.69884490966797
183.0,294.0,535.0,114.69884490966797
184.0,294.0,535.0,114.69884490966797
185.0,294.0,535.0,114.69884490966797
186.0,294.0,535.0,114.69884490966797
187.0,287.0,532.0,134.78245544433594
188.0,287.0,532.0,134.78245544433594
189.0,287.0,532.0,134.78245544433594
190.0,287.0,532.0,134.78245544433594
191.0,295.0,536.0,113.52295684814453
192.0,295.0,536.0,113.52295684814453
193.0,295.0,536.0,113.52295684814453
194.0,295.0,536.0,113.52295684814453
195.0,295.0,536.0,113.52295684814453
196.0,295.0,536.0,113.52295684814453
197.0,295.0,536.0,113.52295684814453
198.0,294.0,535.0,115.24622344970703
199.0,294.0,535.0,115.24622344970703
200.0,294.0,535.0,115.24622344970703
201.0,294.0,535.0,115.24622344970703
202.0,293.0,536.0,116.28423309326172
203.0,293.0,536.0,116.28423309326172
204.0,293.0,536.0,116.28423309326172
205.0,293.0,536.0,116.28423309326172
206.0,293.0,536.0,116.28423309326172
207.0,293.0,536.0,116.28423309326172
208.0,293.0,536.0,116.28423309326172
209.0,295.0,535.0,115.77143096923828
210.0,295.0,535.0,115.77143096923828
211.0,295.0,535.0,115.77143096923828
212.0,295.0,535.0,115.77143096923828
213.0,295.0,536.0,114.81892395019531
214.0,295.0,536.0,114.81892395019531
215.0,295.0,536.0,114.81892395019531
216.0,295.0,536.0,114.81892395019531
217.0,295.0,536.0,114.81892395019531
218.0,295.0,536.0,114.81892395019531
219.0,295.0,536.0,114.81892395019531
220.0,294.0,535.0,115.66519927978516
221.0,294.0,535.0,115.66519927978516
222.0,294.0,535.0,115.66519927978516
223.0,294.0,535.0,115.66519927978516
224.0,295.0,535.0,114.69884490966797
225.0,295.0,535.0,114.69884490966797
226.0,295.0,535.0,114.69884490966797
227.0,295.0,535.0,114.69884490966797
228.0,295.0,535.0,114.69884490966797
