Time,X Coord,Y Coord,Radius
1576499333.2367392,-12.0,-26.0,122.50482177734375
1576499333.2657232,-12.0,-26.0,122.6251220703125
1576499333.2727194,-12.0,-26.0,122.6251220703125
1576499333.2797153,-12.0,-26.0,122.56402587890625
1576499333.2873235,-12.0,-26.0,122.56402587890625
1576499333.2933202,-12.0,-26.0,122.56402587890625
1576499333.2993162,-12.0,-26.0,122.46031951904297
1576499333.307312,-12.0,-26.0,122.46031951904297
1576499333.3133085,-12.0,-26.0,122.33353424072266
1576499333.3193052,-12.0,-26.0,122.33353424072266
1576499333.326301,-12.0,-26.0,122.35381317138672
1576499333.3332973,-12.0,-26.0,122.35381317138672
1576499333.340294,-12.0,-26.0,122.35381317138672
1576499333.3462903,-12.0,-26.0,122.26724243164062
1576499333.3542852,-12.0,-26.0,122.26724243164062
1576499333.360282,-12.0,-27.0,122.12708282470703
1576499333.3672783,-12.0,-27.0,122.12708282470703
1576499333.373278,-12.0,-27.0,122.12708282470703
1576499333.378272,-12.0,-27.0,122.2125473022461
1576499333.3862677,-12.0,-27.0,122.2125473022461
1576499333.392264,-12.0,-27.0,122.146240234375
1576499333.3982606,-12.0,-27.0,122.146240234375
1576499333.4042568,-12.0,-27.0,122.146240234375
1576499333.4102535,-12.0,-27.0,122.23003387451172
1576499333.4162505,-12.0,-27.0,122.23003387451172
1576499333.421247,-12.0,-26.0,122.2125473022461
1576499333.4272437,-12.0,-26.0,122.2125473022461
1576499333.4332407,-12.0,-26.0,122.2125473022461
1576499333.4402368,-12.0,-26.0,122.35381317138672
1576499333.4452345,-12.0,-26.0,122.35381317138672
1576499333.45223,-12.0,-27.0,122.1995620727539
1576499333.4572275,-12.0,-27.0,122.1995620727539
1576499333.464223,-12.0,-27.0,122.1995620727539
1576499333.4692202,-12.0,-26.0,122.33353424072266
1576499333.4742174,-12.0,-26.0,122.33353424072266
1576499333.4802136,-12.0,-26.0,122.33353424072266
1576499333.4872098,-12.0,-26.0,122.09166717529297
1576499333.492207,-12.0,-26.0,122.09166717529297
1576499333.4982038,-12.0,-26.0,122.09166717529297
1576499333.5032008,-12.0,-26.0,122.06114959716797
1576499333.5081983,-12.0,-26.0,122.06114959716797
1576499333.5141945,-12.0,-26.0,122.06114959716797
1576499333.5201938,-12.0,-26.0,122.17999267578125
1576499333.5241888,-12.0,-26.0,122.17999267578125
1576499333.5311852,-12.0,-26.0,122.17999267578125
1576499333.5361822,-12.0,-26.0,122.17999267578125
1576499333.5431848,-12.0,-26.0,122.17999267578125
1576499333.5491757,-12.0,-26.0,122.05886840820312
1576499333.556171,-12.0,-26.0,122.05886840820312
1576499333.5621676,-12.0,-26.0,122.05886840820312
1576499333.5681648,-12.0,-27.0,122.09166717529297
1576499333.5751607,-12.0,-27.0,122.09166717529297
1576499333.581157,-12.0,-27.0,122.09166717529297
1576499333.5881526,-12.0,-26.0,122.09166717529297
1576499333.5941494,-12.0,-26.0,122.09166717529297
1576499333.6001465,-12.0,-26.0,122.09166717529297
1576499333.607143,-12.0,-26.0,122.09166717529297
1576499333.614139,-12.0,-26.0,122.09166717529297
1576499333.6201348,-12.0,-26.0,122.06114959716797
1576499333.6271315,-12.0,-26.0,122.06114959716797
1576499333.6321275,-12.0,-26.0,122.06114959716797
1576499333.6381247,-12.0,-26.0,122.06114959716797
1576499333.6441214,-12.0,-26.0,122.06114959716797
1576499333.6491184,-12.0,-26.0,122.13216400146484
1576499333.655115,-12.0,-26.0,122.13216400146484
1576499333.6601121,-12.0,-26.0,121.83161163330078
1576499333.6661084,-12.0,-26.0,121.83161163330078
1576499333.6721053,-12.0,-26.0,121.83161163330078
