X Coord,Y Coord,Radius
125.0,79.0,9.486932754516602
125.0,80.0,7.457460880279541
127.0,80.0,8.747321128845215
126.0,79.0,8.527021408081055
127.0,79.0,9.013978004455566
127.0,80.0,8.860122680664062
126.0,78.0,9.486932754516602
125.0,78.0,10.30786418914795
126.0,78.0,9.708344459533691
125.0,80.0,9.233864784240723
125.0,80.0,9.233864784240723
125.0,80.0,8.139510154724121
125.0,79.0,9.241544723510742
126.0,80.0,8.24631118774414
125.0,79.0,8.397981643676758
125.0,79.0,9.013978004455566
125.0,80.0,8.74731731414795
126.0,79.0,8.381627082824707
125.0,80.0,7.923340797424316
126.0,79.0,8.732224464416504
124.0,80.0,8.24631118774414
126.0,79.0,9.219644546508789
125.0,80.0,8.24631118774414
125.0,79.0,8.732224464416504
125.0,80.0,9.12424373626709
125.0,79.0,9.013978004455566
124.0,80.0,8.381627082824707
126.0,80.0,8.077847480773926
124.0,79.0,8.262401580810547
126.0,80.0,7.762187480926514
126.0,80.0,7.762187480926514
125.0,79.0,7.457460880279541
124.0,80.0,6.522633075714111
128.0,79.0,7.3541154861450195
123.0,80.0,7.45207405090332
128.0,80.0,5.831051826477051
125.0,79.0,5.700977325439453
125.0,79.0,5.700977325439453
125.0,80.0,4.301262855529785
128.0,80.0,5.4084272384643555
123.0,81.0,5.90117883682251
130.0,79.0,6.500100135803223
123.0,80.0,5.700977325439453
123.0,80.0,5.700977325439453
127.0,80.0,3.5356338024139404
126.0,80.0,4.717090606689453
125.0,81.0,4.472236156463623
128.0,79.0,6.800835609436035
124.0,81.0,6.800835609436035
124.0,81.0,6.800835609436035
128.0,78.0,8.732224464416504
125.0,81.0,7.648629188537598
127.0,78.0,9.192488670349121
126.0,81.0,7.648629188537598
127.0,78.0,8.732224464416504
126.0,80.0,7.280210018157959
128.0,79.0,7.762187480926514
125.0,79.0,7.298755168914795
128.0,81.0,6.041623115539551
128.0,81.0,6.041623115539551
125.0,79.0,6.403224468231201
126.0,81.0,4.031229019165039
128.0,78.0,4.717090606689453
123.0,81.0,4.301262855529785
132.0,78.0,5.7484283447265625
121.0,80.0,5.700977325439453
130.0,80.0,2.12142014503479
130.0,80.0,2.12142014503479
130.0,80.0,2.12142014503479
130.0,80.0,2.12142014503479
130.0,80.0,2.12142014503479
128.0,80.0,3.201662063598633
122.0,82.0,4.031229019165039
131.0,78.0,6.403224468231201
121.0,82.0,5.831051826477051
131.0,77.0,7.159010887145996
124.0,82.0,5.385264873504639
127.0,77.0,7.387575626373291
127.0,77.0,7.387575626373291
126.0,82.0,6.18475866317749
126.0,79.0,7.280210018157959
127.0,82.0,6.324655532836914
127.0,80.0,6.18475866317749
126.0,81.0,6.670932292938232
128.0,81.0,5.2202534675598145
124.0,79.0,7.159010887145996
128.0,82.0,5.700977325439453
128.0,82.0,5.700977325439453
125.0,78.0,6.324655532836914
125.0,82.0,3.3542017936706543
127.0,80.0,2.8285269737243652
123.0,82.0,4.031229019165039
