Time,Z-Coordinate,PID Output
1581945721.4166756,22.0,91.72427187105913
1581945721.6228876,22.0,119.6635705295934
1581945721.6459172,7.0,194.91543521299428
1581945721.762001,13.0,507.3779571310931
1581945721.7870586,19.0,488.1097755896458
1581945721.9170074,5.0,1057.1462427332413
1581945722.0979218,22.0,1156.4768343832343
1581945722.2063663,23.0,1122.856807519084
1581945722.3952563,19.0,1284.4741446448852
1581945722.4402304,15.0,1389.938848588433
1581945722.5061924,29.0,1317.1431684633108
1581945722.626123,20.0,1253.1197459820207
1581945722.7300632,30.0,1216.4218632553034
1581945722.77104,27.0,1165.0974498229086
1581945722.8350027,19.0,1148.3592043874546
1581945722.9899518,29.0,934.0044649324952
1581945723.0759223,18.0,1032.737242108772
1581945723.155905,17.0,1054.669665104225
1581945723.2399006,21.0,1130.0043380369327
1581945723.3679047,21.0,1147.2416584246669
1581945723.4088812,23.0,1166.2929941328714
1581945723.485889,30.0,1033.4374517499286
1581945723.5338993,22.0,1021.2065170244598
1581945723.5898886,31.0,971.0948569324084
1581945723.7013934,28.0,856.2601028234001
1581945723.7393713,27.0,859.2035712406396
1581945723.7593606,25.0,837.3921410112488
1581945723.8708024,28.0,724.7386652360042
1581945723.9097795,26.0,742.3639526076219
1581945723.9757416,22.0,737.3362439093532
1581945724.0646904,19.0,896.213992275093
1581945724.09967,19.0,920.1254798163225
1581945724.2016113,18.0,1140.6288469516264
1581945724.258578,20.0,1157.2305713262851
1581945724.285563,23.0,1200.8741529264257
1581945724.3515244,25.0,1178.5954308979487
1581945724.4089963,25.0,1198.417995882171
1581945724.4349813,22.0,1207.8158836865841
1581945724.5139356,20.0,1288.4611019150466
1581945724.5868936,21.0,1367.7402973782923
1581945724.6798398,27.0,1260.2469189713345
1581945724.7218173,25.0,1247.940933179664
1581945724.7937741,20.0,1253.4513543275993
1581945724.8367493,22.0,1238.5958632505692
1581945724.8772323,22.0,1196.3105056367644
1581945724.9312012,23.0,1136.8511122112423
1581945724.9801726,18.0,1125.0574222759992
1581945725.0171516,23.0,1088.1013620248982
1581945725.0511317,21.0,1050.5928945830653
1581945725.1600888,17.0,1021.1629755843827
1581945725.216057,15.0,1001.6225183388943
1581945725.2731383,18.0,992.3675211087198
1581945725.3151813,17.0,985.599039317847
1581945725.3542137,20.0,952.7765525182351
1581945725.4332757,16.0,940.7227332914354
1581945725.5193675,18.0,891.0531863840106
1581945725.586413,17.0,819.9458439450912
1581945725.6244879,20.0,767.1233802363213
1581945725.6564813,18.0,716.7598119677782
1581945725.7334294,17.0,605.8643242242807
1581945725.777403,17.0,545.6152632781764
1581945725.8173923,18.0,437.57938853258725
1581945725.865353,16.0,366.86764829732095
1581945725.9203203,16.0,252.97908647715897
1581945725.9792864,18.0,127.19733989604566
1581945726.0072703,17.0,49.11869925842537
1581945726.0962205,11.0,-160.46076470034876
1581945726.1541896,15.0,-342.8232461775191
1581945726.1941621,17.0,-478.116291004149
1581945726.3850522,12.0,-998.1229793846283
1581945726.485994,6.0,-1095.3859342374728
1581945726.5399628,7.0,-1183.4915097810213
1581945726.5719442,13.0,-1172.0705313519788
1581945726.6139197,12.0,-1332.5366048707133
1581945726.6688883,12.0,-1113.1187728538487
1581945726.7098641,10.0,-1264.970278627865
1581945726.7538388,9.0,-1328.547044508043
1581945726.798813,7.0,-1189.8699680612447
1581945726.843787,11.0,-1027.1223998485473
1581945726.8847637,9.0,-1028.4847492710903
1581945727.0266817,7.0,-1308.7422889572704
1581945727.0816493,8.0,-1410.4771920695985
1581945727.1386256,6.0,-1475.6838201349312
1581945727.2045856,10.0,-1414.678858773236
1581945727.2495525,13.0,-1265.6040418552836
1581945727.3045206,1.0,-1264.1123275477646
1581945727.3664846,2.0,-1282.3158176010947
1581945727.4334462,6.0,-1384.5095706436703
1581945727.511401,9.0,-1241.7051628225581
1581945727.5533767,4.0,-1225.1223932703404
1581945727.6133423,8.0,-993.1109663303641
1581945727.6493235,14.0,-845.7530623346538
1581945727.700292,15.0,-615.5644766716526
1581945727.7762477,21.0,-682.5792608941492
1581945727.8332155,11.0,-768.2515542757551
1581945727.878189,12.0,-540.6964646094681
1581945727.9711354,12.0,-217.25222213193507
1581945728.0071151,7.0,-300.2956710189662
1581945728.0560865,7.0,-376.2190671894522
1581945728.098064,24.0,-464.6844739901725
1581945728.135045,5.0,-344.534337256845
1581945728.1790226,5.0,-475.1309189824259
1581945728.2929494,14.0,-861.9009405287042
1581945728.3838968,5.0,-891.7558333859681
1581945728.4708471,6.0,-828.7745785541642
1581945728.5388136,0.0,-849.168344216868
1581945728.5787861,3.0,-743.0532691454148
1581945728.608767,7.0,-661.5891188845615
1581945728.652743,13.0,-784.0391818296843
1581945728.7057111,13.0,-612.3704573367315
1581945728.754683,4.0,-661.8263406037656
1581945728.7866642,13.0,-789.7115979201772
1581945728.824642,14.0,-892.2630358551846
1581945728.8716154,14.0,-1029.487001162663
1581945728.9315803,6.0,-945.431302165806
1581945728.9905467,2.0,-909.21623288768
1581945729.0754976,0.0,-830.0752002290043
1581945729.1179786,5.0,-781.977655015502
