Time,X Coord,Y Coord,Radius,Framenumber,FPS
1581944592.402965,54.0,14.0,29.051082611083984,397,25.340057831501255
1581944592.4879627,54.0,13.0,28.855772018432617,397,25.340057831501255
1581944592.5779605,53.0,13.0,29.26041030883789,397,25.340057831501255
1581944592.6439488,54.0,14.0,29.21488380432129,397,25.340057831501255
1581944592.6889448,53.0,14.0,29.14100456237793,397,25.340057831501255
1581944592.7499535,53.0,14.0,28.94687271118164,397,25.340057831501255
1581944592.780936,53.0,15.0,29.12483024597168,397,25.340057831501255
1581944592.8389246,53.0,15.0,29.127708435058594,397,25.340057831501255
1581944592.9149237,53.0,14.0,29.10765838623047,397,25.340057831501255
1581944592.977912,53.0,14.0,29.331567764282227,397,25.340057831501255
1581944593.0808885,53.0,14.0,29.1259822845459,397,25.340057831501255
1581944593.1738737,52.0,13.0,29.29206085205078,397,25.340057831501255
1581944593.249829,52.0,13.0,28.78386116027832,397,25.340057831501255
1581944593.2728164,52.0,10.0,28.718624114990234,397,25.340057831501255
1581944593.3047972,52.0,10.0,28.718624114990234,397,25.340057831501255
1581944593.3537908,52.0,9.0,28.893173217773438,397,25.340057831501255
1581944593.463775,52.0,9.0,28.93537139892578,397,25.340057831501255
1581944593.6007411,52.0,9.0,28.873830795288086,397,25.340057831501255
1581944593.635751,53.0,8.0,28.942045211791992,397,25.340057831501255
1581944593.7057338,53.0,9.0,28.28384780883789,397,25.340057831501255
1581944593.7427113,53.0,9.0,28.663583755493164,397,25.340057831501255
1581944593.782722,53.0,9.0,28.97093963623047,397,25.340057831501255
1581944593.8526816,53.0,9.0,28.883258819580078,397,25.340057831501255
1581944593.8846638,52.0,8.0,29.159191131591797,397,25.340057831501255
1581944593.9216442,52.0,8.0,28.840219497680664,397,25.340057831501255
1581944593.9975982,52.0,8.0,28.510889053344727,397,25.340057831501255
1581944594.0845585,52.0,7.0,29.233657836914062,397,25.340057831501255
1581944594.1375172,52.0,8.0,29.262481689453125,397,25.340057831501255
1581944594.1675055,52.0,8.0,29.06612205505371,397,25.340057831501255
1581944594.2604797,53.0,8.0,28.696487426757812,397,25.340057831501255
1581944594.357475,53.0,7.0,28.748123168945312,397,25.340057831501255
1581944594.4435222,53.0,6.0,28.9398250579834,397,25.340057831501255
1581944594.5074856,54.0,5.0,28.987573623657227,397,25.340057831501255
1581944594.5434651,54.0,5.0,29.14200210571289,397,25.340057831501255
1581944594.5714693,53.0,5.0,28.98635482788086,397,25.340057831501255
1581944594.5934563,54.0,4.0,29.283687591552734,397,25.340057831501255
1581944594.6425052,54.0,4.0,29.085227966308594,397,25.340057831501255
1581944594.6834817,53.0,5.0,29.156490325927734,397,25.340057831501255
1581944594.705469,53.0,5.0,29.572065353393555,397,25.340057831501255
1581944594.7334795,54.0,5.0,29.7525577545166,397,25.340057831501255
1581944594.7574656,54.0,4.0,29.36170768737793,397,25.340057831501255
1581944594.8174691,53.0,5.0,29.65224838256836,397,25.340057831501255
1581944594.8544705,53.0,5.0,29.221946716308594,397,25.340057831501255
1581944594.8814552,53.0,5.0,29.32085609436035,397,25.340057831501255
1581944594.9394634,53.0,6.0,29.435155868530273,397,25.340057831501255
1581944594.9794652,54.0,7.0,29.453357696533203,397,25.340057831501255
1581944595.023459,53.0,8.0,29.27334976196289,397,25.340057831501255
1581944595.0684812,53.0,10.0,29.26184844970703,397,25.340057831501255
1581944595.1014621,53.0,10.0,29.317615509033203,397,25.340057831501255
1581944595.1615164,53.0,11.0,29.387359619140625,397,25.340057831501255
1581944595.190465,52.0,12.0,29.49222755432129,397,25.340057831501255
1581944595.279476,52.0,13.0,28.936254501342773,397,25.340057831501255
1581944595.3304975,51.0,14.0,29.49459457397461,397,25.340057831501255
1581944595.3915458,51.0,15.0,28.988399505615234,397,25.340057831501255
1581944595.4264863,51.0,15.0,29.711193084716797,397,25.340057831501255
1581944595.4604664,50.0,15.0,29.399518966674805,397,25.340057831501255
1581944595.497467,50.0,15.0,28.877004623413086,397,25.340057831501255
1581944595.533469,50.0,15.0,29.231931686401367,397,25.340057831501255
1581944595.577476,49.0,15.0,28.93537139892578,397,25.340057831501255
1581944595.6114826,48.0,16.0,29.32001495361328,397,25.340057831501255
1581944595.6444635,48.0,15.0,28.828771591186523,397,25.340057831501255
1581944595.6734753,47.0,15.0,28.916574478149414,397,25.340057831501255
1581944595.7064767,48.0,14.0,28.797500610351562,397,25.340057831501255
1581944595.7374754,47.0,15.0,29.210542678833008,397,25.340057831501255
1581944595.761487,46.0,14.0,29.111412048339844,397,25.340057831501255
1581944595.8034792,46.0,13.0,29.17218780517578,397,25.340057831501255
1581944595.8209856,45.0,13.0,28.93376922607422,397,25.340057831501255
1581944595.842478,45.0,13.0,29.532827377319336,397,25.340057831501255
1581944595.8984659,46.0,12.0,28.78386116027832,397,25.340057831501255
1581944595.9434803,45.0,12.0,28.754657745361328,397,25.340057831501255
1581944595.9704897,44.0,11.0,29.166316986083984,397,25.340057831501255
1581944596.0134637,45.0,11.0,29.380661010742188,397,25.340057831501255
1581944596.0464723,44.0,9.0,29.277894973754883,397,25.340057831501255
1581944596.085484,44.0,9.0,28.85101890563965,397,25.340057831501255
1581944596.1334937,43.0,9.0,29.430479049682617,397,25.340057831501255
1581944596.1974761,42.0,8.0,29.35544204711914,397,25.340057831501255
1581944596.2374814,43.0,6.0,28.548437118530273,397,25.340057831501255
1581944596.2994645,43.0,4.0,29.351520538330078,397,25.340057831501255
1581944596.3664663,43.0,3.0,29.606822967529297,397,25.340057831501255
1581944596.443473,44.0,2.0,28.908857345581055,397,25.340057831501255
1581944596.4924664,43.0,0.0,29.450223922729492,397,25.340057831501255
1581944596.5384717,44.0,2.0,29.27379035949707,397,25.340057831501255
1581944596.5704749,44.0,2.0,29.584802627563477,397,25.340057831501255
1581944596.624464,45.0,2.0,29.360076904296875,397,25.340057831501255
1581944596.7014725,45.0,1.0,29.05634307861328,397,25.340057831501255
1581944596.7474763,46.0,0.0,29.153553009033203,397,25.340057831501255
1581944596.7784579,46.0,1.0,29.861248016357422,397,25.340057831501255
1581944596.8134813,46.0,2.0,29.899065017700195,397,25.340057831501255
1581944596.8824797,44.0,4.0,29.72041130065918,397,25.340057831501255
1581944596.9094648,45.0,7.0,29.385940551757812,397,25.340057831501255
1581944596.938498,46.0,7.0,29.347749710083008,397,25.340057831501255
1581944596.9874697,46.0,8.0,29.348840713500977,397,25.340057831501255
1581944597.0654879,44.0,9.0,29.561798095703125,397,25.340057831501255
1581944597.1464655,43.0,10.0,29.447288513183594,397,25.340057831501255
1581944597.1824887,42.0,10.0,29.063705444335938,397,25.340057831501255
1581944597.2424765,43.0,9.0,29.23904037475586,397,25.340057831501255
1581944597.2755322,40.0,9.0,29.210542678833008,397,25.340057831501255
1581944597.3664796,42.0,8.0,28.879636764526367,397,25.340057831501255
1581944597.4184494,40.0,7.0,29.185388565063477,397,25.340057831501255
1581944597.4544888,40.0,6.0,29.060068130493164,397,25.340057831501255
1581944597.499485,39.0,5.0,29.485443115234375,397,25.340057831501255
1581944597.54146,39.0,4.0,29.213241577148438,397,25.340057831501255
1581944597.6014824,39.0,3.0,28.68421173095703,397,25.340057831501255
1581944597.6564715,38.0,2.0,29.04970932006836,397,25.340057831501255
1581944597.6934693,39.0,0.0,29.185117721557617,397,25.340057831501255
1581944597.742467,38.0,1.0,29.532833099365234,397,25.340057831501255
1581944597.7864935,39.0,1.0,28.964641571044922,397,25.340057831501255
1581944597.8334665,38.0,2.0,29.160438537597656,397,25.340057831501255
1581944597.8964827,39.0,4.0,29.38639259338379,397,25.340057831501255
1581944597.9574666,38.0,4.0,29.43195152282715,397,25.340057831501255
1581944598.0174737,38.0,5.0,28.763572692871094,397,25.340057831501255
1581944598.0594792,39.0,4.0,29.34716033935547,397,25.340057831501255
1581944598.1154747,40.0,5.0,29.660451889038086,397,25.340057831501255
1581944598.153476,40.0,4.0,29.048202514648438,397,25.340057831501255
1581944598.1864996,39.0,4.0,29.71966552734375,397,25.340057831501255
1581944598.210486,39.0,4.0,29.774324417114258,397,25.340057831501255
1581944598.2384737,39.0,3.0,29.75611114501953,397,25.340057831501255
1581944598.2615695,40.0,1.0,30.06846809387207,397,25.340057831501255
1581944598.2855148,40.0,1.0,30.06846809387207,397,25.340057831501255
1581944598.311506,39.0,0.0,29.92512321472168,397,25.340057831501255
1581944598.3834574,40.0,0.0,29.809595108032227,397,25.340057831501255
1581944598.45748,39.0,5.0,29.84203338623047,397,25.340057831501255
1581944598.5134928,39.0,8.0,29.829570770263672,397,25.340057831501255
1581944598.5524697,39.0,8.0,29.164566040039062,397,25.340057831501255
1581944598.5814755,38.0,9.0,29.139142990112305,397,25.340057831501255
1581944598.6354709,37.0,9.0,29.549896240234375,397,25.340057831501255
1581944598.673469,37.0,8.0,29.36821746826172,397,25.340057831501255
1581944598.7105055,36.0,8.0,29.845630645751953,397,25.340057831501255
1581944598.7784667,37.0,8.0,29.32773208618164,397,25.340057831501255
1581944598.8404882,35.0,6.0,28.93537139892578,397,25.340057831501255
1581944598.875468,35.0,6.0,29.351524353027344,397,25.340057831501255
1581944598.8994794,35.0,4.0,29.100452423095703,397,25.340057831501255
1581944598.9404788,34.0,4.0,29.087953567504883,397,25.340057831501255
1581944598.9924726,35.0,4.0,29.68012237548828,397,25.340057831501255
1581944599.1004832,33.0,2.0,29.278032302856445,397,25.340057831501255
1581944599.1554775,33.0,0.0,29.65224838256836,397,25.340057831501255
1581944599.1824617,33.0,0.0,29.258455276489258,397,25.340057831501255
1581944599.2135081,33.0,0.0,29.034549713134766,397,25.340057831501255
1581944599.2424917,34.0,2.0,29.774324417114258,397,25.340057831501255
1581944599.2864664,32.0,2.0,29.244239807128906,397,25.340057831501255
1581944599.335511,33.0,3.0,29.66551399230957,397,25.340057831501255
1581944599.3684762,32.0,3.0,29.030668258666992,397,25.340057831501255
1581944599.4194705,33.0,4.0,29.778806686401367,397,25.340057831501255
1581944599.4474807,32.0,4.0,29.777193069458008,397,25.340057831501255
1581944599.4834604,33.0,5.0,29.752099990844727,397,25.340057831501255
1581944599.5334744,33.0,4.0,29.439584732055664,397,25.340057831501255
1581944599.5655036,34.0,4.0,28.780426025390625,397,25.340057831501255
1581944599.6104767,33.0,5.0,29.171409606933594,397,25.340057831501255
1581944599.644457,34.0,4.0,29.52052116394043,397,25.340057831501255
1581944599.6764812,33.0,5.0,29.484891891479492,397,25.340057831501255
