Time,X Coord,Y Coord,Radius,Framenumber
1578310079.8983917,35.5,7.0,26.741796493530273,914
1578310079.9133723,34.5,9.0,28.288867950439453,914
1578310079.9253662,34.5,9.0,28.288867950439453,914
1578310079.9353578,34.5,14.0,25.811918258666992,914
1578310079.9423554,35.5,12.0,26.076908111572266,914
1578310079.9513648,35.5,12.0,26.076908111572266,914
1578310079.9583447,34.5,11.0,27.463869094848633,914
1578310079.9663408,34.5,11.0,27.463869094848633,914
1578310079.9753351,36.5,12.0,25.401870727539062,914
1578310079.9833307,36.5,12.0,25.401870727539062,914
1578310079.990327,35.5,10.0,27.613502502441406,914
1578310079.9963238,35.5,10.0,27.613502502441406,914
1578310080.0053186,34.5,10.0,28.22249984741211,914
1578310080.0133135,34.5,10.0,28.22249984741211,914
1578310080.021309,35.5,12.0,25.75894546508789,914
1578310080.0293047,35.5,12.0,25.75894546508789,914
1578310080.0373008,35.5,12.0,26.476503372192383,914
1578310080.0462954,35.5,12.0,26.476503372192383,914
1578310080.0542908,35.5,12.0,28.627155303955078,914
1578310080.061287,35.5,12.0,28.627155303955078,914
1578310080.0682826,36.5,11.0,26.120014190673828,914
1578310080.0762775,36.5,11.0,26.120014190673828,914
1578310080.083274,36.5,9.0,26.476503372192383,914
1578310080.08927,36.5,9.0,26.476503372192383,914
1578310080.0972667,36.5,9.0,26.476503372192383,914
1578310080.1032631,35.5,9.0,28.443023681640625,914
1578310080.1112592,35.5,9.0,28.443023681640625,914
1578310080.1172552,35.5,12.0,25.816879272460938,914
1578310080.1242542,35.5,12.0,25.816879272460938,914
1578310080.1312482,35.5,12.0,25.495197296142578,914
1578310080.1362455,35.5,12.0,25.495197296142578,914
1578310080.1442394,35.5,12.0,25.495197296142578,914
1578310080.1512353,35.5,10.0,28.36391830444336,914
1578310080.1582315,35.5,10.0,28.36391830444336,914
1578310080.1652274,36.5,9.0,26.19647216796875,914
1578310080.1702256,36.5,9.0,26.19647216796875,914
1578310080.1782212,36.5,9.0,26.19647216796875,914
1578310080.1852155,35.5,11.0,27.865848541259766,914
1578310080.1932113,35.5,11.0,27.865848541259766,914
1578310080.200208,35.5,10.0,26.234619140625,914
1578310080.207204,35.5,10.0,26.234619140625,914
1578310080.2141998,36.5,10.0,25.811918258666992,914
1578310080.2211955,36.5,10.0,25.811918258666992,914
1578310080.229192,35.5,13.0,28.115962982177734,914
1578310080.235189,35.5,13.0,28.115962982177734,914
1578310080.2431839,35.5,13.0,28.115962982177734,914
1578310080.2481797,36.5,9.0,25.597949981689453,914
1578310080.256175,36.5,9.0,25.597949981689453,914
1578310080.2621727,35.5,7.0,28.288867950439453,914
1578310080.2691684,35.5,7.0,28.288867950439453,914
1578310080.276166,35.5,11.0,26.076908111572266,914
1578310080.281162,35.5,11.0,26.076908111572266,914
1578310080.2891574,35.5,11.0,26.076908111572266,914
1578310080.2951534,35.5,15.0,28.071435928344727,914
1578310080.3011496,35.5,15.0,28.071435928344727,914
1578310080.308147,37.5,9.0,26.476503372192383,914
1578310080.3141432,37.5,9.0,26.476503372192383,914
1578310080.322138,37.5,9.0,26.476503372192383,914
1578310080.3281357,35.5,6.0,27.95094871520996,914
1578310080.3361301,35.5,6.0,27.95094871520996,914
1578310080.3431277,36.5,13.0,25.495708465576172,914
1578310080.3481233,36.5,13.0,25.495708465576172,914
1578310080.3541198,35.5,15.0,28.22249984741211,914
1578310080.3601172,35.5,14.0,28.160354614257812,914
1578310080.367115,35.5,14.0,28.160354614257812,914
1578310080.3731108,37.5,10.0,25.89908218383789,914
1578310080.3791053,37.5,10.0,25.89908218383789,914
1578310080.3871017,35.5,7.0,26.575464248657227,914
1578310080.392099,35.5,7.0,26.575464248657227,914
1578310080.3980954,35.5,7.0,26.575464248657227,914
1578310080.405091,35.5,13.0,27.789485931396484,914
1578310080.4110875,35.5,13.0,27.789485931396484,914
1578310080.4180858,37.5,13.0,26.575464248657227,914
1578310080.4250803,37.5,13.0,26.575464248657227,914
1578310080.432076,37.5,13.0,26.575464248657227,914
1578310080.4380732,35.5,8.0,26.172603607177734,914
1578310080.4440694,35.5,8.0,26.172603607177734,914
1578310080.4510643,36.5,13.0,27.230669021606445,914
1578310080.4570622,36.5,13.0,27.230669021606445,914
1578310080.4650583,36.5,13.0,27.230669021606445,914
1578310080.4720535,36.5,15.0,27.064836502075195,914
1578310080.4770505,36.5,15.0,27.064836502075195,914
1578310080.483046,36.5,12.0,26.406147003173828,914
1578310080.489045,36.5,12.0,26.406147003173828,914
1578310080.4970388,36.5,12.0,26.406147003173828,914
1578310080.5040345,35.5,11.0,27.463869094848633,914
1578310080.5110307,35.5,11.0,27.463869094848633,914
1578310080.5170293,36.5,14.0,27.554590225219727,914
1578310080.5230265,36.5,14.0,27.554590225219727,914
1578310080.5300195,36.5,13.0,26.305992126464844,914
1578310080.5370176,36.5,13.0,26.305992126464844,914
1578310080.5430126,36.5,13.0,26.305992126464844,914
