Time,Z-Coordinate,PID Output
1578579356.7258823,56.5,485.14726099581026
1578579356.7408757,55.5,-49.25323466221053
1578579356.753867,55.5,151.0
1578579356.7638624,59.5,1250.5796916003383
1578579356.7738562,53.5,-1854.3114197858129
1578579356.7848506,53.5,147.0
1578579356.794847,57.5,1355.0869814020027
1578579356.802841,55.5,-599.7480087109574
1578579356.8123837,55.5,151.0
1578579356.8213792,52.5,-855.5761391046201
1578579356.8333724,52.5,145.0
1578579356.844367,55.5,1051.6235625328052
1578579356.8553607,57.5,700.7188333514041
1578579356.8673546,52.5,-1009.5226997467612
1578579356.8773499,52.5,145.0
1578579356.8883426,52.5,145.0
1578579356.9023354,52.5,145.0
1578579356.9143298,57.5,1405.6124396207288
1578579356.9253225,54.5,-669.6137531715567
1578579356.936317,52.5,-400.77800910865324
1578579356.94731,54.5,694.7306674762546
1578579356.9573045,54.5,149.0
1578579356.9672992,56.5,753.3154504902077
1578579356.980292,56.5,153.0
1578579356.9932852,53.5,-545.6881972988843
1578579357.0042794,52.5,-127.8830864652686
1578579357.0132747,53.5,447.1505653356233
1578579357.0242677,53.5,147.0
1578579357.0372617,52.5,-85.91725239030296
1578579357.0492542,57.5,1405.41359435556
1578579357.0612476,54.5,-601.4868088828804
1578579357.073241,54.5,149.0
1578579357.0862339,52.5,-316.8175545482906
1578579357.0942292,54.5,816.0330788804072
1578579357.1052237,54.5,149.0
1578579357.1142185,55.5,484.5961186669848
1578579357.1232138,53.5,-520.103806595271
1578579357.1332104,53.5,147.0
1578579357.1412036,52.5,-230.18373188621865
1578579357.1521983,52.5,145.0
1578579357.1601977,56.5,1654.3168680089484
1578579357.1691883,55.5,-182.43699817155573
1578579357.1791832,55.5,151.0
1578579357.1901793,52.5,-755.4087396240816
1578579357.2011716,52.5,145.0
1578579357.2111657,54.5,749.4013837528331
1578579357.2201612,55.5,484.507699647486
1578579357.2321541,55.5,151.0
1578579357.2421486,53.5,-453.3011306712466
1578579357.2501447,56.5,1153.57613910462
1578579357.2601392,56.5,153.0
1578579357.2721326,55.5,-149.1505653356233
1578579357.2811275,51.5,-948.5796916003383
1578579357.2911222,51.5,143.0
1578579357.301116,55.5,1485.1368817261305
1578579357.3121102,55.5,151.0
1578579357.3221061,55.5,151.0
1578579357.3320997,53.5,-453.4300336411137
1578579357.3430939,53.5,147.0
1578579357.3510907,54.5,524.206106870229
1578579357.362084,56.5,698.021527266427
1578579357.370079,56.5,153.0
1578579357.3790755,55.5,-182.53422043153262
1578579357.391068,55.5,151.0
1578579357.4010615,51.5,-1057.7454731970322
1578579357.410058,56.5,1653.6454382826475
1578579357.4190526,56.5,153.0
1578579357.4280474,55.5,-224.2284845231705
1578579357.4400403,55.5,151.0
1578579357.4500358,52.5,-755.4087396240816
1578579357.4600306,55.5,1051.5591048977742
1578579357.4720228,55.5,151.0
1578579357.4820192,54.5,-151.10761305094445
1578579357.491012,53.5,-186.5961186669848
1578579357.5020065,53.5,147.0
1578579357.5090053,56.5,1278.282775889823
1578579357.5209966,56.5,153.0
1578579357.530991,55.5,-149.1505653356233
1578579357.5399861,52.5,-855.629184890656
1578579357.5519793,52.5,145.0
1578579357.5619743,56.5,1244.4850042287424
1578579357.5709693,56.5,153.0
1578579357.582962,56.5,153.0
1578579357.5929575,54.5,-601.3450907898268
1578579357.5999534,54.5,149.0
1578579357.6099477,54.5,149.0
1578579357.618943,54.5,149.0
1578579357.626938,54.5,149.0
1578579357.635934,56.5,819.8386549723098
1578579357.6459277,56.5,153.0
1578579357.6549225,52.5,-1189.490614062997
1578579357.6659167,52.5,145.0
1578579357.6769116,54.5,749.3154504902077
1578579357.6869054,57.5,973.5960012143819
1578579357.699898,54.5,-601.4271315826094
1578579357.7108924,54.5,149.0
1578579357.7248843,55.5,381.90030278007157
1578579357.7338796,56.5,453.17920702323585
1578579357.746873,56.5,153.0
1578579357.757867,54.5,-351.24497584829146
1578579357.7678614,54.5,149.0
1578579357.7808542,58.5,1157.5695087768127
1578579357.7928472,58.5,157.0
1578579357.8163507,54.5,-384.2476718192124
1578579357.8323436,56.5,528.1949190446372
1578579357.8413377,55.5,-149.17920702323585
1578579357.8533301,55.5,151.0
1578579357.8673234,55.5,151.0
1578579357.8773172,53.5,-398.8490369599167
1578579357.8903115,53.5,147.0
1578579357.9003055,57.5,1355.573623070868
1578579357.9083009,56.5,-180.52537970154003
1578579357.9192944,56.5,153.0
1578579357.9302895,52.5,-1055.516350626118
1578579357.9402833,55.5,969.6847687002537
1578579357.950277,55.5,151.0
1578579357.9592721,54.5,-226.2172953630535
1578579357.9692667,55.5,451.07898502337116
1578579357.979263,55.5,151.0
1578579357.9884522,55.5,151.0
1578579357.998444,55.5,151.0
1578579358.0074396,57.5,823.2374933616569
1578579358.0174353,57.5,155.0
1578579358.0294278,53.5,-851.5249375074396
1578579358.037427,54.5,524.56446991404
1578579358.047419,54.5,149.0
1578579358.056415,58.5,1661.0984968472642
1578579358.0654106,53.5,-1353.824427480916
1578579358.0744042,53.5,147.0
1578579358.084397,55.5,751.3440921777715
1578579358.0953927,55.5,151.0
1578579358.105387,55.5,151.0
1578579358.1133828,56.5,581.8362074841524
1578579358.1233764,56.5,153.0
1578579358.1313734,56.5,153.0
1578579358.141368,56.5,153.0
1578579358.1493645,52.5,-1352.52002380244
1578579358.1583576,52.5,145.0
1578579358.1683514,58.5,2408.5051890731243
1578579358.1763642,53.5,-1351.2154168551901
1578579358.1853418,53.5,147.0
1578579358.1953363,57.5,1486.4546320300512
1578579358.2073298,57.5,155.0
1578579358.2173247,55.5,-516.015399294972
1578579358.2243264,55.5,151.0
1578579358.2333176,55.5,151.0
1578579358.242311,54.5,-184.507699647486
