Time,Z-Coordinate,PID Output
1580557805.5403776,50.0,nan
1580557805.5553691,nan,nan
1580557805.5663629,50.0,nan
1580557805.5753577,nan,nan
1580557805.583353,50.0,nan
1580557805.5923479,nan,nan
1580557805.6033413,50.0,nan
1580557805.6113367,nan,nan
1580557805.6203327,50.0,nan
1580557805.627328,nan,nan
1580557805.6343248,50.0,nan
1580557805.643319,nan,nan
1580557805.6503155,50.0,nan
1580557805.6573105,nan,nan
1580557805.6643066,50.0,nan
1580557805.672303,nan,nan
1580557805.6782985,50.0,nan
1580557805.6852946,nan,nan
1580557805.692291,50.0,nan
1580557805.698288,nan,nan
1580557805.7062829,50.0,nan
1580557805.712279,nan,nan
1580557805.720275,50.0,nan
1580557805.7282708,nan,nan
1580557805.734267,50.0,nan
1580557805.742263,nan,nan
1580557805.7482588,50.0,nan
1580557805.7552547,nan,nan
1580557805.761251,50.0,nan
1580557805.7682476,nan,nan
1580557805.7752435,50.0,nan
1580557805.7822402,nan,nan
1580557805.7902346,50.0,nan
1580557805.7952318,nan,nan
1580557805.8032274,50.0,nan
1580557805.810223,nan,nan
1580557805.817219,50.0,nan
1580557805.8232162,nan,nan
1580557805.8302119,50.0,nan
1580557805.836209,nan,nan
1580557805.8432043,50.0,nan
1580557805.8492012,nan,nan
1580557805.8561976,50.0,nan
1580557805.861194,nan,nan
1580557805.8691902,50.0,nan
1580557805.8751867,nan,nan
1580557805.8811827,50.0,nan
1580557805.8871796,nan,nan
1580557805.8931758,50.0,nan
1580557805.9021707,nan,nan
1580557805.9081676,50.0,nan
1580557805.915163,nan,nan
1580557805.9211597,50.0,nan
1580557805.928157,nan,nan
1580557805.9351523,50.0,nan
1580557805.9421487,nan,nan
1580557805.9491446,50.0,nan
1580557805.9541411,nan,nan
1580557805.9611373,50.0,nan
1580557805.9671338,nan,nan
1580557805.9741294,50.0,nan
1580557805.9811258,nan,nan
1580557805.9871218,50.0,nan
1580557805.9941185,nan,nan
1580557805.9991155,50.0,nan
1580557806.0051124,nan,nan
1580557806.0141065,50.0,nan
1580557806.021103,nan,nan
1580557806.029098,50.0,nan
1580557806.0370936,nan,nan
1580557806.044108,50.0,nan
1580557806.0501049,nan,nan
1580557806.0580823,50.0,nan
1580557806.0641117,nan,nan
1580557806.0720737,50.0,nan
1580557806.07907,nan,nan
1580557806.090065,50.0,nan
1580557806.0970604,nan,nan
1580557806.1040556,50.0,nan
1580557806.1100707,nan,nan
1580557806.121047,50.0,nan
1580557806.1280572,nan,nan
1580557806.1350377,50.0,nan
1580557806.1420522,nan,nan
1580557806.1490314,50.0,nan
1580557806.1550453,nan,nan
1580557806.1630223,50.0,nan
1580557806.1700175,nan,nan
1580557806.1770146,50.0,nan
1580557806.183029,nan,nan
1580557806.1920052,50.0,nan
1580557806.199001,nan,nan
1580557806.2059982,50.0,nan
1580557806.211996,nan,nan
1580557806.2189918,50.0,nan
1580557806.2259865,nan,nan
1580557806.2329817,50.0,nan
1580557806.239979,nan,nan
1580557806.2459743,50.0,nan
1580557806.2519722,nan,nan
1580557806.2589667,50.0,nan
1580557806.265963,nan,nan
1580557806.2739594,50.0,nan
1580557806.2819555,nan,nan
1580557806.2889497,50.0,nan
1580557806.2949467,nan,nan
1580557806.301944,50.0,nan
1580557806.3109372,nan,nan
1580557806.3199325,50.0,nan
1580557806.3269284,nan,nan
1580557806.3349235,50.0,nan
1580557806.339921,nan,nan
1580557806.3479161,50.0,nan
1580557806.353913,nan,nan
1580557806.3619082,50.0,nan
1580557806.3679047,nan,nan
1580557806.3739014,50.0,nan
1580557806.380897,nan,nan
1580557806.387893,50.0,nan
1580557806.39489,nan,nan
1580557806.4008858,50.0,nan
1580557806.4088814,nan,nan
1580557806.415877,50.0,nan
1580557806.4228735,nan,nan
1580557806.4298694,50.0,nan
1580557806.4358656,nan,nan
1580557806.442862,50.0,nan
1580557806.4488583,nan,nan
1580557806.4578543,50.0,nan
1580557806.4638498,nan,nan
1580557806.4708464,50.0,nan
1580557806.4768422,nan,nan
1580557806.4838383,50.0,nan
1580557806.4918342,nan,nan
1580557806.4978306,50.0,nan
1580557806.503827,nan,nan
1580557806.5108232,50.0,nan
1580557806.5158203,nan,nan
1580557806.5248148,50.0,nan
1580557806.5318112,nan,nan
1580557806.5388074,50.0,nan
1580557806.5468032,nan,nan
1580557806.5547981,50.0,nan
1580557806.5607946,nan,nan
1580557806.56879,50.0,nan
1580557806.5757864,nan,nan
1580557806.580783,50.0,nan
1580557806.5887785,nan,nan
1580557806.5947752,50.0,nan
1580557806.6027708,nan,nan
1580557806.608767,50.0,nan
1580557806.6147642,nan,nan
