X Coord,Y Coord,Radius
240.0,537.0,118.1136474609375
240.0,536.0,120.10211181640625
240.0,536.0,119.04471588134766
241.0,536.0,118.71375274658203
240.0,536.0,119.53409576416016
241.0,536.0,119.80479431152344
241.0,535.0,118.97233581542969
240.0,536.0,119.43543243408203
241.0,535.0,119.07463836669922
240.0,537.0,119.20092010498047
241.0,536.0,118.56226348876953
240.0,537.0,118.97233581542969
240.0,537.0,118.64012145996094
241.0,537.0,119.33275604248047
240.0,537.0,118.93223571777344
241.0,536.0,117.85924530029297
242.0,535.0,118.87104034423828
241.0,536.0,118.29663848876953
241.0,535.0,119.0786361694336
241.0,537.0,118.73490142822266
241.0,536.0,118.22770690917969
240.0,535.0,118.66375732421875
240.0,537.0,121.6735610961914
241.0,536.0,118.46040344238281
241.0,536.0,118.56226348876953
241.0,536.0,118.74791717529297
240.0,536.0,119.08905029296875
241.0,536.0,118.68565368652344
241.0,536.0,119.32868957519531
240.0,537.0,118.16649627685547
241.0,537.0,119.24824523925781
241.0,537.0,119.24824523925781
240.0,536.0,118.42749786376953
240.0,537.0,118.47733306884766
241.0,537.0,118.86614227294922
241.0,536.0,118.7396469116211
241.0,536.0,118.8357925415039
240.0,537.0,119.95179748535156
241.0,536.0,118.10072326660156
240.0,536.0,118.7560806274414
240.0,536.0,119.2607192993164
240.0,536.0,119.1142578125
240.0,536.0,118.13912200927734
241.0,537.0,118.80386352539062
241.0,536.0,120.01638793945312
242.0,535.0,118.94947814941406
241.0,536.0,119.53409576416016
241.0,536.0,118.83978271484375
241.0,536.0,118.52924346923828
241.0,536.0,118.5372543334961
242.0,535.0,118.97655487060547
241.0,536.0,118.8547134399414
240.0,536.0,118.94915771484375
241.0,536.0,119.09007263183594
242.0,536.0,118.17461395263672
243.0,535.0,117.7469482421875
241.0,536.0,119.45550537109375
240.0,536.0,119.53975677490234
240.0,536.0,118.655517578125
240.0,536.0,118.92803955078125
241.0,537.0,120.23800659179688
241.0,536.0,118.48539733886719
241.0,537.0,117.71073913574219
241.0,537.0,119.38264465332031
241.0,536.0,117.84857940673828
240.0,536.0,119.77082824707031
241.0,536.0,118.62339782714844
240.0,536.0,118.04460144042969
241.0,536.0,118.8605728149414
241.0,536.0,117.99552154541016
240.0,537.0,120.09480285644531
241.0,537.0,118.38014221191406
241.0,537.0,118.28446960449219
240.0,536.0,119.873291015625
240.0,536.0,118.7852554321289
240.0,536.0,118.99998474121094
240.0,536.0,118.391357421875
241.0,536.0,118.35022735595703
241.0,537.0,118.56207275390625
240.0,537.0,119.53409576416016
240.0,536.0,120.51831817626953
241.0,535.0,118.02666473388672
240.0,537.0,118.6695556640625
241.0,536.0,119.03720092773438
240.0,536.0,119.2498550415039
241.0,536.0,120.7171630859375
241.0,535.0,119.22615051269531
241.0,536.0,118.50074768066406
242.0,535.0,119.51114654541016
241.0,535.0,119.77212524414062
240.0,536.0,120.08328247070312
241.0,535.0,119.47394561767578
241.0,535.0,119.32295989990234
240.0,535.0,119.22056579589844
241.0,535.0,120.94783782958984
241.0,536.0,118.24408721923828
241.0,536.0,118.27692413330078
241.0,535.0,118.44425201416016
240.0,536.0,119.03720092773438
241.0,535.0,118.91883850097656
241.0,536.0,119.94940948486328
241.0,536.0,119.20238494873047
240.0,535.0,118.30477142333984
241.0,536.0,119.49431610107422
241.0,536.0,118.2611083984375
241.0,536.0,119.31424713134766
240.0,536.0,118.46923828125
241.0,535.0,119.32818603515625
241.0,534.0,119.39571380615234
240.0,535.0,119.47394561767578
240.0,535.0,119.58396911621094
241.0,536.0,118.95833587646484
240.0,535.0,118.96360778808594
241.0,535.0,119.32764434814453
242.0,535.0,118.01473236083984
240.0,535.0,118.8547134399414
240.0,536.0,118.9676742553711
240.0,535.0,120.51341247558594
240.0,536.0,119.14122009277344
242.0,536.0,119.40109252929688
240.0,536.0,118.2146987915039
241.0,535.0,118.99470520019531
241.0,535.0,118.56207275390625
