Time,PID Output
1578492804.1991916,40.65883255004883
1578492804.2401679,43.78535842895508
1578492804.25616,40.447696685791016
1578492804.2721512,33.556610107421875
1578492804.2861428,28.16045570373535
1578492804.3021362,27.892850875854492
1578492804.3191247,29.428077697753906
1578492804.3331172,35.22802734375
1578492804.3451087,40.792354583740234
1578492804.3541043,39.6234245300293
1578492804.3710945,39.6234245300293
1578492804.385087,33.37683868408203
1578492804.400079,27.673213958740234
1578492804.4130728,32.28022384643555
1578492804.427063,44.113746643066406
1578492804.4380574,28.46474838256836
1578492804.4500513,35.369991302490234
1578492804.464043,35.369991302490234
1578492804.480033,40.460357666015625
1578492804.4950254,27.921653747558594
1578492804.5060182,36.87837600708008
1578492804.5140152,36.553070068359375
1578492804.5310047,36.553070068359375
1578492804.5449963,30.481544494628906
1578492804.5569932,41.60581970214844
1578492804.5639865,28.65410804748535
1578492804.5769792,28.65410804748535
1578492804.59097,36.22174072265625
1578492804.6009645,30.80604362487793
1578492804.6089609,33.60274887084961
1578492804.6219528,33.60274887084961
1578492804.6329467,40.447696685791016
1578492804.641942,27.663799285888672
1578492804.654935,27.663799285888672
1578492804.6649313,39.6234245300293
1578492804.6739242,31.797252655029297
1578492804.686916,31.797252655029297
1578492804.6989126,33.73445510864258
1578492804.7069051,38.47096633911133
1578492804.7198997,38.47096633911133
1578492804.7288923,28.179737091064453
1578492804.7378879,42.34469985961914
1578492804.7508802,42.34469985961914
1578492804.759875,30.282529830932617
1578492804.7698696,34.36587905883789
1578492804.7828634,34.36587905883789
1578492804.7928562,40.311485290527344
1578492804.8028507,29.6143856048584
1578492804.814845,29.12063980102539
1578492804.8278399,29.12063980102539
1578492804.8368325,31.257200241088867
1578492804.8478267,35.693336486816406
1578492804.857472,35.693336486816406
1578492804.8664672,41.00019836425781
1578492804.8794596,41.00019836425781
1578492804.888636,42.3087272644043
1578492804.8966308,39.2176513671875
1578492804.9116228,39.2176513671875
1578492804.9236171,32.75687789916992
1578492804.932611,28.302478790283203
1578492804.9436047,30.430885314941406
1578492804.957596,30.430885314941406
1578492804.9675956,37.65653991699219
1578492804.9765856,40.11254119873047
1578492804.9905782,40.11254119873047
1578492805.004759,41.31623077392578
1578492805.0127542,40.447696685791016
1578492805.0237482,32.573734283447266
1578492805.0369515,32.573734283447266
1578492805.0469458,32.573734283447266
1578492805.0559416,28.861940383911133
1578492805.064936,28.861940383911133
1578492805.0739315,27.459260940551758
1578492805.0869238,27.459260940551758
1578492805.0959187,35.51076126098633
1578492805.1049135,39.21770095825195
1578492805.1199067,39.21770095825195
1578492805.134897,41.593467712402344
1578492805.1508887,43.416786193847656
1578492805.1678839,41.593467712402344
1578492805.1808763,42.426605224609375
1578492805.1918697,42.426605224609375
1578492805.2028642,41.31623077392578
1578492805.2168562,41.31623077392578
1578492805.2308486,43.289920806884766
1578492805.2418413,39.47198486328125
1578492805.2498374,36.51087188720703
1578492805.2638288,36.51087188720703
1578492805.274823,28.63584327697754
1578492805.287815,30.594316482543945
1578492805.299809,41.593467712402344
1578492805.3118026,41.593467712402344
1578492805.3277938,28.63584327697754
1578492805.3407857,38.639556884765625
1578492805.3507795,28.16045570373535
1578492805.359775,41.44919967651367
1578492805.3747666,41.44919967651367
1578492805.3847606,28.16045570373535
1578492805.3937576,40.792354583740234
1578492805.408747,40.792354583740234
1578492805.4217398,29.12063980102539
1578492805.431734,37.108150482177734
1578492805.44073,36.6744384765625
1578492805.4527225,36.6744384765625
1578492805.4607184,29.6143856048584
1578492805.4727113,41.593467712402344
1578492805.4867043,41.593467712402344
1578492805.4966977,27.892850875854492
1578492805.5076916,41.593467712402344
1578492805.5206847,28.861940383911133
1578492805.5346766,28.861940383911133
1578492805.54467,30.430885314941406
1578492805.5526664,42.426605224609375
1578492805.564659,42.426605224609375
1578492805.5726557,29.12063980102539
1578492805.5836487,35.7515869140625
1578492805.5946455,35.7515869140625
1578492805.6026397,39.05144500732422
1578492805.6146317,39.05144500732422
1578492805.6236258,28.16045570373535
1578492805.6326237,44.181640625
1578492805.646613,44.181640625
1578492805.6536095,27.65883445739746
1578492805.6636038,40.311485290527344
1578492805.6755965,40.311485290527344
1578492805.6825938,30.80604362487793
1578492805.6955857,30.80604362487793
1578492805.7085795,34.585208892822266
1578492805.7165742,40.11254119873047
1578492805.7275686,27.203142166137695
1578492805.7415595,27.203142166137695
1578492805.7485557,42.755313873291016
1578492805.7595496,28.708816528320312
1578492805.768544,28.708816528320312
1578492805.7775397,41.303951263427734
1578492805.7905324,41.303951263427734
1578492805.799527,28.28447151184082
1578492805.8135202,41.77339553833008
1578492805.8255134,27.731048583984375
1578492805.8395045,27.731048583984375
1578492805.855496,42.3087272644043
1578492805.872486,28.61600351333618
