Time,Z-Coordinate,PID Output
1580826025.1104956,3.0,-219.97278958636727
1580826025.1504722,2.0,-220.9885308833923
1580826025.1684673,12.0,-130.69452491591795
1580826025.1844523,5.0,-171.28093914555814
1580826025.1944466,5.0,-153.1412281036377
1580826025.2094383,1.0,-169.32377331643636
1580826025.22343,1.0,-158.58493690490724
1580826025.2324247,6.0,-121.63139034182349
1580826025.2534132,6.0,-117.90018157958984
1580826025.2753997,7.0,-92.55609425435512
1580826025.2973874,7.0,-72.58498687744141
1580826025.30938,4.0,-80.94291180801042
1580826025.3263717,4.0,-64.49225616455078
1580826025.342361,2.0,-68.06346233400116
1580826025.358354,3.0,-52.97379381444764
1580826025.3883345,6.0,-17.650943152572296
1580826025.4113216,3.0,-21.0647138737272
1580826025.4263127,7.0,15.038344364680004
1580826025.4403043,8.0,28.846371853552178
1580826025.453297,8.0,41.21050872802735
1580826025.4682884,7.0,50.83450506905524
1580826025.4882774,6.0,64.03621065848037
1580826025.5012708,1.0,44.277448465311934
1580826025.5182645,1.0,57.2886287689209
1580826025.5332527,1.0,60.88647956848145
1580826025.545252,2.0,70.21868249152836
1580826025.5612385,6.0,100.50146048027408
1580826025.5817075,7.0,118.58936021169012
1580826025.6036952,6.0,131.6025458750875
1580826025.6176884,4.0,131.35940253795619
1580826025.6356764,6.0,159.02391153632115
1580826025.6486707,6.0,167.1588985443115
1580826025.6686573,6.0,183.94886894226073
1580826025.6836488,2.0,169.43869456118048
1580826025.69864,2.0,182.34259300231935
1580826025.7146308,2.0,188.09917144775392
1580826025.7416153,3.0,204.6346997623294
1580826025.7626033,3.0,214.22594299316407
1580826025.7735968,5.0,232.8894721869374
1580826025.7965837,5.0,244.1723762512207
1580826025.807578,3.0,239.55986080678537
1580826025.821569,3.0,249.96521224975587
1580826025.8395586,1.0,245.30353470754582
1580826025.8625474,0.0,246.65376915664243
1580826025.8765373,3.0,269.23994173133804
1580826025.9045215,1.0,262.96648109594827
1580826025.9225109,1.0,269.0710174560547
1580826025.9325051,1.0,257.8669562758786
1580826025.9464972,1.0,262.8710174560547
1580826025.9634871,1.0,276.2614895619001
1580826025.9844751,4.0,298.27288902614475
1580826026.0034642,5.0,313.06410786315956
1580826026.015457,5.0,320.4482494354248
1580826026.0344465,2.0,314.0346833054653
1580826026.0494378,2.0,297.114746005088
1580826026.0634298,1.0,308.6721212415393
1580826026.0744233,1.0,306.8853950500488
1580826026.092413,0.0,313.5337792418489
1580826026.1034067,0.0,313.46322593688967
1580826026.1253963,1.0,309.2757622349067
1580826026.1383877,0.0,317.05672584619754
1580826026.1513786,2.0,329.5927305744497
1580826026.1623724,2.0,329.61869888305665
1580826026.1793625,3.0,342.3437371987147
1580826026.1973522,4.0,356.68192504828403
1580826026.213343,1.0,344.66065370283053
1580826026.2293334,1.0,353.74098892211913
1580826026.2433257,2.0,337.10928957743806
1580826026.256323,1.0,347.7686597131892
1580826026.2723105,0.0,352.56422307511883
1580826026.2843018,0.0,352.32018051147463
1580826026.3032908,1.0,361.2939034552587
1580826026.3152876,4.0,382.8453549358348
1580826026.3342733,2.0,347.97587472026015
1580826026.3562603,0.0,367.44770542271186
1580826026.3772519,1.0,374.2464606977208
1580826026.3922396,4.0,396.8383227019195
1580826026.4052675,2.0,386.39020716871954
1580826026.4192486,2.0,369.680833255921
1580826026.4312418,2.0,374.9123710632324
1580826026.4422565,2.0,373.59092178344724
1580826026.4552476,1.0,378.6150909732812
1580826026.4752626,2.0,396.7806967098575
1580826026.493252,3.0,406.36771708121523
1580826026.5142627,3.0,414.65570678710935
1580826026.5322502,1.0,410.37990575299585
1580826026.542271,3.0,387.33652385955764
1580826026.5542376,3.0,395.5748260498047
1580826026.573228,1.0,417.77499166113313
1580826026.5842202,2.0,394.76746752323993
1580826026.5983293,2.0,400.4563278198242
1580826026.6073158,0.0,413.3067331533495
1580826026.6183097,0.0,409.05166206359866
1580826026.6353023,1.0,417.5528436450267
1580826026.6552882,1.0,421.0264980316162
1580826026.6683047,1.0,410.9934230206497
1580826026.6822965,2.0,408.2424148779569
1580826026.6982932,2.0,408.2518142700195
1580826026.71428,0.0,419.43349934420525
1580826026.7282698,1.0,424.63301933637473
1580826026.741263,0.0,419.2437887107773
1580826026.752256,2.0,409.3595397783283
1580826026.7722454,2.0,411.37001457214353
1580826026.7882361,2.0,409.211315536499
1580826026.806225,2.0,407.052473449707
1580826026.823215,1.0,411.62395254036096
1580826026.8342087,0.0,416.9532504414209
1580826026.8501992,0.0,416.49057922363284
1580826026.8626788,1.0,411.212806061158
1580826026.8736708,1.0,413.3905792236328
1580826026.8916621,1.0,413.3905792236328
1580826026.9046533,1.0,413.3905792236328
1580826026.9176452,1.0,426.52375454567374
1580826026.928639,0.0,418.3890436029383
1580826026.940632,1.0,416.1438459312363
1580826026.9556234,1.0,418.06797981262207
1580826026.9696155,1.0,418.06797981262207
1580826026.9836073,0.0,424.63375637761794
1580826027.0025964,1.0,418.4304705555717
1580826027.0145895,1.0,419.7469997406006
1580826027.0355806,1.0,419.7469997406006
1580826027.046571,2.0,413.12329955650335
1580826027.0615625,2.0,413.5286277770996
1580826027.0755548,1.0,418.1921031077391
1580826027.0865483,2.0,409.8278197183151
1580826027.10054,2.0,410.5304187774658
1580826027.116554,2.0,408.8513988494873
1580826027.131527,2.0,406.9324821472168
1580826027.1445146,1.0,412.1169190819151
1580826027.1655023,2.0,403.22281132059646
1580826027.1764958,1.0,409.78788725685905
1580826027.1884892,1.0,407.514009475708
1580826027.205482,2.0,400.9474218146875
1580826027.2204704,2.0,400.8155578613281
1580826027.2324636,2.0,399.37614860534666
1580826027.2494557,2.0,397.3380989074707
